,Date,o,h,l,c,v
0,2022-07-11 09:15:00,163.6,163.75,162.0,162.0,15829
1,2022-07-11 09:30:00,162.3,162.45,161.0,161.7,27813
2,2022-07-11 09:45:00,161.7,162.0,160.8,160.8,36636
3,2022-07-11 10:00:00,160.65,161.75,160.45,161.4,43641
4,2022-07-11 10:15:00,161.4,162.35,161.4,161.85,49083
5,2022-07-11 10:30:00,161.85,162.35,161.5,162.05,52063
6,2022-07-11 10:45:00,162.05,162.45,161.85,162.25,55548
7,2022-07-11 11:00:00,162.45,162.5,161.9,162.0,56604
8,2022-07-11 11:15:00,162.0,162.25,161.7,161.75,57366
9,2022-07-11 11:30:00,161.75,161.85,161.65,161.85,57432
10,2022-07-11 11:45:00,161.85,162.1,161.45,161.75,58801
11,2022-07-11 12:00:00,161.75,162.0,161.6,161.65,59250
12,2022-07-11 12:15:00,161.65,162.05,161.55,161.95,60788
13,2022-07-11 12:30:00,161.75,162.25,161.75,161.75,61710
14,2022-07-11 12:45:00,161.75,162.2,161.75,161.75,62843
15,2022-07-11 13:00:00,161.75,162.5,161.7,161.9,65102
16,2022-07-11 13:15:00,161.9,162.4,161.55,161.9,68157
17,2022-07-11 13:30:00,161.9,162.3,161.0,161.25,73868
18,2022-07-11 13:45:00,161.25,161.75,161.0,161.05,76686
19,2022-07-11 14:00:00,161.05,161.75,161.0,161.35,79206
20,2022-07-11 14:15:00,161.35,162.3,161.35,162.15,82590
21,2022-07-11 14:30:00,162.1,162.5,161.95,162.15,84365
22,2022-07-11 14:45:00,162.15,162.55,161.75,162.35,87144
23,2022-07-11 15:00:00,162.35,162.35,160.55,160.65,99895
24,2022-07-11 15:15:00,160.65,161.8,160.5,160.8,114170
25,2022-07-11 15:30:00,160.8,161.05,160.8,161.05,114171
26,2022-07-12 09:15:00,160.95,161.4,160.1,160.35,8946
27,2022-07-12 09:30:00,160.45,161.7,160.4,160.55,18556
28,2022-07-12 09:45:00,160.55,161.5,160.55,160.65,25026
29,2022-07-12 10:00:00,160.55,161.9,160.5,161.35,30382
30,2022-07-12 10:15:00,161.35,161.4,160.6,161.15,34942
31,2022-07-12 10:30:00,161.15,161.5,160.9,161.15,37630
32,2022-07-12 10:45:00,161.15,161.15,160.75,161.0,41750
