,Date,o,h,l,c,v
0,2022-07-11 09:15:00,243.7,245.25,241.6,242.9,42943
1,2022-07-11 09:30:00,242.45,244.6,242.0,244.3,71967
2,2022-07-11 09:45:00,244.5,244.65,242.5,242.95,107497
3,2022-07-11 10:00:00,243.2,245.75,242.75,245.5,139162
4,2022-07-11 10:15:00,245.6,247.4,245.1,247.0,174785
5,2022-07-11 10:30:00,246.9,249.55,245.75,249.5,220612
6,2022-07-11 10:45:00,249.5,249.5,247.8,248.75,253387
7,2022-07-11 11:00:00,248.75,252.2,248.3,251.8,318016
8,2022-07-11 11:15:00,251.8,252.75,250.05,252.05,371289
9,2022-07-11 11:30:00,252.05,252.9,249.35,249.55,418151
10,2022-07-11 11:45:00,249.55,249.9,249.3,249.65,426421
11,2022-07-11 12:00:00,249.65,251.0,249.5,250.3,443080
12,2022-07-11 12:15:00,250.3,250.7,247.85,247.9,455592
13,2022-07-11 12:30:00,248.0,249.65,247.35,249.2,477559
14,2022-07-11 12:45:00,249.05,250.0,249.05,249.4,482460
15,2022-07-11 13:00:00,249.4,250.35,249.2,249.3,487519
16,2022-07-11 13:15:00,249.35,250.4,249.1,249.4,493392
17,2022-07-11 13:30:00,249.35,250.3,249.35,249.95,499253
18,2022-07-11 13:45:00,250.05,251.7,249.7,251.3,513429
19,2022-07-11 14:00:00,251.5,251.6,249.95,250.3,525998
20,2022-07-11 14:15:00,250.3,251.0,249.6,250.0,535047
21,2022-07-11 14:30:00,250.0,250.5,249.05,249.2,547642
22,2022-07-11 14:45:00,249.2,251.25,249.2,250.45,564146
23,2022-07-11 15:00:00,250.5,251.55,249.75,251.3,592362
24,2022-07-11 15:15:00,251.45,252.5,250.8,251.25,635588
25,2022-07-11 15:30:00,251.25,251.4,251.25,251.4,636095
26,2022-07-12 09:15:00,250.0,253.25,249.0,253.0,32709
27,2022-07-12 09:30:00,253.2,255.7,250.35,254.2,225974
28,2022-07-12 09:45:00,254.2,255.85,254.1,254.85,382857
29,2022-07-12 10:00:00,254.85,255.3,254.55,255.05,427904
30,2022-07-12 10:15:00,255.05,255.2,253.0,253.75,463379
31,2022-07-12 10:30:00,253.65,254.05,253.0,253.4,499283
32,2022-07-12 10:45:00,253.55,254.1,253.25,254.1,513051
