,Date,o,h,l,c,v
0,2022-07-25 09:15:00,910.1,915.0,906.15,907.4,4308
1,2022-07-25 09:30:00,907.4,907.4,901.2,901.45,9159
2,2022-07-25 09:45:00,901.45,903.95,895.3,897.65,11999
3,2022-07-25 10:00:00,897.65,907.2,896.75,905.25,14294
4,2022-07-25 10:15:00,905.25,908.85,905.0,908.2,15968
5,2022-07-25 10:30:00,908.2,908.35,906.35,906.35,16580
6,2022-07-25 10:45:00,906.35,907.65,902.9,904.75,17036
7,2022-07-25 11:00:00,904.75,905.0,901.4,902.6,17801
8,2022-07-25 11:15:00,902.6,903.2,901.0,903.2,18268
9,2022-07-25 11:30:00,903.2,903.2,900.05,901.7,18722
10,2022-07-25 11:45:00,901.7,905.05,901.05,903.15,19374
11,2022-07-25 12:00:00,903.4,903.4,901.0,902.3,19841
12,2022-07-25 12:15:00,902.7,905.3,901.0,903.0,20861
13,2022-07-25 12:30:00,903.0,903.0,900.7,901.55,21529
14,2022-07-25 12:45:00,901.55,901.95,898.5,899.2,22083
15,2022-07-25 13:00:00,899.2,900.05,896.25,897.0,22852
16,2022-07-25 13:15:00,897.0,900.55,897.0,900.55,23425
17,2022-07-25 13:30:00,900.55,900.55,898.05,900.55,23867
18,2022-07-25 13:45:00,900.55,900.85,897.95,898.0,24130
19,2022-07-25 14:00:00,898.0,898.0,892.3,896.75,26784
20,2022-07-25 14:15:00,896.75,896.75,891.6,891.75,28090
21,2022-07-25 14:30:00,891.75,895.1,891.1,892.3,29116
22,2022-07-25 14:45:00,892.3,897.5,892.3,895.55,30691
23,2022-07-25 15:00:00,895.55,905.0,895.55,903.55,33268
24,2022-07-25 15:15:00,903.55,905.0,893.3,898.9,35893
25,2022-07-25 15:30:00,898.9,900.5,898.9,900.5,36951
