,Date,o,h,l,c,v
0,2022-07-11 09:15:00,118.3,119.15,118.15,118.6,400303
1,2022-07-11 09:30:00,118.6,118.7,117.3,118.45,708351
2,2022-07-11 09:45:00,118.55,120.45,118.45,118.65,1180872
3,2022-07-11 10:00:00,118.65,119.6,118.65,119.1,1267718
4,2022-07-11 10:15:00,119.3,119.35,118.6,119.2,1324559
5,2022-07-11 10:30:00,119.2,119.25,118.4,118.75,1391295
6,2022-07-11 10:45:00,118.75,119.0,118.25,118.55,1440769
7,2022-07-11 11:00:00,118.6,118.8,118.4,118.7,1466189
8,2022-07-11 11:15:00,118.7,118.8,118.4,118.8,1511145
9,2022-07-11 11:30:00,118.8,119.0,118.4,118.4,1537543
10,2022-07-11 11:45:00,118.35,118.8,118.1,118.6,1569905
11,2022-07-11 12:00:00,118.6,119.5,118.5,119.1,1661810
12,2022-07-11 12:15:00,119.2,120.35,119.1,119.45,1850658
13,2022-07-11 12:30:00,119.45,119.8,119.2,119.75,1938817
14,2022-07-11 12:45:00,119.7,119.8,119.4,119.7,1981881
15,2022-07-11 13:00:00,119.7,120.5,119.6,120.2,2148397
16,2022-07-11 13:15:00,120.2,120.7,119.8,120.35,2295554
17,2022-07-11 13:30:00,120.4,120.6,119.95,120.2,2386783
18,2022-07-11 13:45:00,120.3,121.3,120.2,120.25,2705295
19,2022-07-11 14:00:00,120.25,120.7,119.15,119.95,2863142
20,2022-07-11 14:15:00,119.75,120.1,119.3,119.5,2988474
21,2022-07-11 14:30:00,119.5,120.2,119.5,119.95,3131224
22,2022-07-11 14:45:00,119.95,120.2,119.35,119.5,3291734
23,2022-07-11 15:00:00,119.45,120.95,119.4,120.25,3709286
24,2022-07-11 15:15:00,120.25,120.4,119.35,119.65,4035388
25,2022-07-11 15:30:00,120.0,120.0,120.0,120.0,4037150
26,2022-07-12 09:15:00,118.8,120.6,118.8,120.0,365871
27,2022-07-12 09:30:00,119.95,122.25,119.65,121.0,1070306
28,2022-07-12 09:45:00,121.1,121.35,120.5,121.0,1551745
29,2022-07-12 10:00:00,121.0,121.25,120.65,120.8,1793209
30,2022-07-12 10:15:00,120.8,121.0,120.6,120.9,1912161
31,2022-07-12 10:30:00,120.9,120.95,120.3,120.45,1969007
32,2022-07-12 10:45:00,120.4,120.8,120.2,120.8,2088174
