,Date,o,h,l,c,v
0,2022-07-11 09:15:00,687.9,691.5,683.45,689.2,89275
1,2022-07-11 09:30:00,689.2,694.55,688.9,694.25,445800
2,2022-07-11 09:45:00,694.25,695.0,691.85,692.6,522707
3,2022-07-11 10:00:00,692.6,694.65,690.1,690.1,604771
4,2022-07-11 10:15:00,690.45,690.95,689.0,690.15,650889
5,2022-07-11 10:30:00,690.3,690.35,689.05,689.95,662130
6,2022-07-11 10:45:00,689.95,692.4,689.8,690.95,688901
7,2022-07-11 11:00:00,690.95,692.15,690.85,692.15,704860
8,2022-07-11 11:15:00,692.15,692.15,690.75,690.75,722193
9,2022-07-11 11:30:00,690.75,691.0,689.4,689.65,743288
10,2022-07-11 11:45:00,689.65,689.95,688.45,688.75,767575
11,2022-07-11 12:00:00,688.75,690.45,688.6,690.0,784134
12,2022-07-11 12:15:00,690.0,690.55,689.4,690.0,798817
13,2022-07-11 12:30:00,690.0,690.8,689.3,689.8,812510
14,2022-07-11 12:45:00,689.8,690.5,689.4,689.8,820190
15,2022-07-11 13:00:00,689.8,691.5,689.4,691.5,836730
16,2022-07-11 13:15:00,691.5,692.65,691.5,692.0,868892
17,2022-07-11 13:30:00,692.0,693.3,689.95,690.6,932004
18,2022-07-11 13:45:00,690.6,691.45,688.0,688.0,1226498
19,2022-07-11 14:00:00,688.2,689.9,687.75,688.2,1307521
20,2022-07-11 14:15:00,688.2,689.15,687.75,688.85,1358425
21,2022-07-11 14:30:00,688.75,690.4,688.0,688.75,1419727
22,2022-07-11 14:45:00,688.75,690.0,688.0,688.85,1489154
23,2022-07-11 15:00:00,688.7,692.0,688.7,690.95,1643189
24,2022-07-11 15:15:00,690.95,692.0,689.4,690.0,1822026
25,2022-07-11 15:30:00,690.8,690.8,690.8,690.8,1822136
26,2022-07-12 09:15:00,687.0,690.9,680.1,681.5,151426
27,2022-07-12 09:30:00,681.75,682.0,679.55,680.25,241967
28,2022-07-12 09:45:00,680.25,682.8,679.8,682.25,298587
29,2022-07-12 10:00:00,682.25,683.9,681.45,682.45,350540
30,2022-07-12 10:15:00,682.45,682.75,680.8,681.7,389165
31,2022-07-12 10:30:00,681.7,682.65,681.05,682.5,411272
32,2022-07-12 10:45:00,682.5,683.5,682.0,683.3,440318
