,Date,o,h,l,c,v
0,2022-07-11 09:15:00,681.95,681.95,672.35,672.6,2829
1,2022-07-11 09:30:00,672.6,674.0,670.55,673.2,5776
2,2022-07-11 09:45:00,673.2,674.95,671.2,673.0,7563
3,2022-07-11 10:00:00,672.3,674.65,671.85,672.25,9823
4,2022-07-11 10:15:00,672.25,675.05,671.0,671.45,13773
5,2022-07-11 10:30:00,671.45,673.75,671.45,673.5,14146
6,2022-07-11 10:45:00,673.5,674.0,673.5,673.55,14391
7,2022-07-11 11:00:00,673.55,673.95,673.55,673.8,14523
8,2022-07-11 11:15:00,673.9,674.0,673.05,673.5,14894
9,2022-07-11 11:30:00,673.5,674.0,672.5,673.35,15797
10,2022-07-11 11:45:00,673.35,673.55,672.65,673.45,15950
11,2022-07-11 12:00:00,673.45,673.95,672.85,673.8,16200
12,2022-07-11 12:15:00,673.8,674.1,672.6,673.85,18408
13,2022-07-11 12:30:00,673.85,674.45,673.1,673.3,18609
14,2022-07-11 12:45:00,673.3,674.1,672.95,673.9,18968
15,2022-07-11 13:00:00,673.9,674.9,673.9,674.5,19801
16,2022-07-11 13:15:00,674.5,674.9,672.65,672.65,21767
17,2022-07-11 13:30:00,672.65,674.75,672.05,674.1,22920
18,2022-07-11 13:45:00,674.1,674.1,672.65,672.65,23347
19,2022-07-11 14:00:00,672.65,672.9,671.55,671.7,24362
20,2022-07-11 14:15:00,671.7,673.55,671.35,673.55,26346
21,2022-07-11 14:30:00,673.6,673.9,672.8,673.7,27305
22,2022-07-11 14:45:00,673.7,673.7,671.3,672.1,28900
23,2022-07-11 15:00:00,672.1,673.6,671.25,672.1,30359
24,2022-07-11 15:15:00,672.1,672.1,670.6,672.0,33198
25,2022-07-11 15:30:00,672.1,672.1,671.65,671.65,33200
26,2022-07-12 09:15:00,672.0,672.5,667.35,669.9,2155
27,2022-07-12 09:30:00,669.9,670.6,669.15,669.95,4355
28,2022-07-12 09:45:00,669.2,670.0,669.2,669.65,5749
29,2022-07-12 10:00:00,669.65,669.65,667.6,668.0,8542
30,2022-07-12 10:15:00,668.0,668.45,667.0,667.8,10761
31,2022-07-12 10:30:00,667.8,668.1,667.5,668.05,13864
32,2022-07-12 10:45:00,668.05,668.8,668.0,668.05,14524
