,Date,o,h,l,c,v
0,2022-07-11 09:15:00,312.2,313.65,310.35,311.8,5961
1,2022-07-11 09:30:00,311.0,313.75,310.8,313.1,9224
2,2022-07-11 09:45:00,313.1,319.0,313.1,318.75,25172
3,2022-07-11 10:00:00,318.95,321.5,318.15,318.3,50086
4,2022-07-11 10:15:00,318.7,318.75,316.5,317.65,55387
5,2022-07-11 10:30:00,317.65,318.1,316.35,317.85,58587
6,2022-07-11 10:45:00,317.85,317.85,317.0,317.0,59364
7,2022-07-11 11:00:00,317.0,317.3,316.5,316.7,61165
8,2022-07-11 11:15:00,316.6,317.0,316.1,316.35,62573
9,2022-07-11 11:30:00,316.35,316.35,315.05,315.55,65395
10,2022-07-11 11:45:00,315.55,315.95,315.0,315.2,70956
11,2022-07-11 12:00:00,315.2,315.7,315.05,315.1,71345
12,2022-07-11 12:15:00,315.1,315.6,315.1,315.15,72038
13,2022-07-11 12:30:00,315.45,316.4,315.1,315.6,73546
14,2022-07-11 12:45:00,315.6,316.35,315.55,315.95,74838
15,2022-07-11 13:00:00,315.95,316.85,315.95,316.05,75599
16,2022-07-11 13:15:00,316.05,316.7,316.0,316.45,75995
17,2022-07-11 13:30:00,316.45,319.95,316.45,318.5,102829
18,2022-07-11 13:45:00,318.5,319.3,318.4,319.3,105203
19,2022-07-11 14:00:00,320.5,322.95,320.15,320.5,127621
20,2022-07-11 14:15:00,320.65,321.35,320.2,321.35,131190
21,2022-07-11 14:30:00,321.35,321.35,320.4,320.4,134708
22,2022-07-11 14:45:00,320.4,320.8,320.25,320.6,135915
23,2022-07-11 15:00:00,320.75,322.8,320.25,320.8,149484
24,2022-07-11 15:15:00,321.1,322.3,320.2,322.2,163913
25,2022-07-11 15:30:00,321.1,321.4,321.1,321.4,163941
26,2022-07-12 09:15:00,319.9,321.2,316.7,320.25,6038
27,2022-07-12 09:30:00,320.25,322.8,319.45,321.5,12782
28,2022-07-12 09:45:00,321.95,321.95,319.8,320.45,20759
29,2022-07-12 10:00:00,320.45,320.5,319.8,320.35,22561
30,2022-07-12 10:15:00,320.35,320.35,319.5,319.6,23329
31,2022-07-12 10:30:00,319.5,319.9,318.0,318.1,25715
32,2022-07-12 10:45:00,318.35,318.6,318.0,318.0,29179
