,Date,o,h,l,c,v
0,2022-07-25 09:15:00,875.4,875.45,864.9,865.0,29078
1,2022-07-25 09:30:00,863.55,868.95,863.0,867.55,59259
2,2022-07-25 09:45:00,867.55,871.0,865.1,869.0,76454
3,2022-07-25 10:00:00,869.0,880.85,868.7,880.3,105291
4,2022-07-25 10:15:00,880.5,880.5,877.1,878.85,138691
5,2022-07-25 10:30:00,878.8,878.85,875.0,876.8,152469
6,2022-07-25 10:45:00,876.8,879.5,875.75,878.75,165132
7,2022-07-25 11:00:00,878.75,878.95,874.3,877.0,175274
8,2022-07-25 11:15:00,876.55,878.2,876.0,877.35,182897
9,2022-07-25 11:30:00,877.35,878.0,875.1,877.15,190272
10,2022-07-25 11:45:00,877.15,878.0,876.0,878.0,195839
11,2022-07-25 12:00:00,878.0,879.85,877.55,879.75,201757
12,2022-07-25 12:15:00,879.75,887.0,878.45,886.75,219749
13,2022-07-25 12:30:00,887.0,890.0,883.5,884.3,278743
14,2022-07-25 12:45:00,884.45,886.0,879.0,879.05,321909
15,2022-07-25 13:00:00,879.7,881.8,878.4,878.5,349738
16,2022-07-25 13:15:00,878.5,882.65,877.85,880.9,384050
17,2022-07-25 13:30:00,880.9,882.5,878.95,880.55,412766
18,2022-07-25 13:45:00,880.3,881.15,877.7,878.7,427439
19,2022-07-25 14:00:00,878.85,880.75,878.85,879.45,439756
20,2022-07-25 14:15:00,879.45,880.0,878.6,878.95,451326
21,2022-07-25 14:30:00,878.95,879.0,877.6,878.5,462250
22,2022-07-25 14:45:00,878.5,878.55,875.2,876.0,477677
23,2022-07-25 15:00:00,875.6,876.0,873.0,874.7,506895
24,2022-07-25 15:15:00,874.05,877.0,873.75,875.0,556421
25,2022-07-25 15:30:00,875.0,875.0,874.95,874.95,584713
