,Date,o,h,l,c,v
0,2022-07-25 09:15:00,330.1,330.5,326.25,326.8,5522
1,2022-07-25 09:30:00,326.8,326.8,324.8,326.15,10192
2,2022-07-25 09:45:00,326.0,326.0,322.1,324.25,16717
3,2022-07-25 10:00:00,324.25,324.25,322.9,322.9,19360
4,2022-07-25 10:15:00,323.65,325.35,323.65,325.3,20751
5,2022-07-25 10:30:00,325.3,325.7,324.1,324.1,21590
6,2022-07-25 10:45:00,324.1,325.0,323.75,325.0,22808
7,2022-07-25 11:00:00,325.0,325.0,324.05,324.45,23719
8,2022-07-25 11:15:00,324.45,324.45,323.0,323.4,26405
9,2022-07-25 11:30:00,323.95,324.1,323.6,323.6,26994
10,2022-07-25 11:45:00,323.6,323.95,323.4,323.5,27454
11,2022-07-25 12:00:00,324.2,325.75,323.5,325.75,28567
12,2022-07-25 12:15:00,325.75,325.75,325.1,325.1,29057
13,2022-07-25 12:30:00,325.1,326.35,325.0,325.8,29443
14,2022-07-25 12:45:00,325.8,326.0,325.0,325.15,31394
15,2022-07-25 13:00:00,325.15,326.45,325.15,326.45,32167
16,2022-07-25 13:15:00,326.45,326.6,326.3,326.5,32299
17,2022-07-25 13:30:00,326.5,326.55,325.8,325.8,33121
18,2022-07-25 13:45:00,325.8,326.45,325.6,326.4,34081
19,2022-07-25 14:00:00,326.4,326.45,326.0,326.4,34966
20,2022-07-25 14:15:00,326.4,326.4,326.0,326.0,35782
21,2022-07-25 14:30:00,326.3,326.6,326.05,326.6,35965
22,2022-07-25 14:45:00,326.55,327.45,326.05,326.5,36569
23,2022-07-25 15:00:00,326.3,327.25,326.05,326.8,38000
24,2022-07-25 15:15:00,326.8,330.0,326.0,329.5,42431
25,2022-07-25 15:30:00,329.5,329.5,326.75,326.75,44141
