,Date,o,h,l,c,v
0,2022-07-11 09:15:00,635.05,635.4,626.45,631.3,24030
1,2022-07-11 09:30:00,631.3,633.6,628.1,632.55,32267
2,2022-07-11 09:45:00,633.3,633.75,631.1,631.7,34312
3,2022-07-11 10:00:00,631.7,635.05,631.7,635.05,38302
4,2022-07-11 10:15:00,635.05,637.0,633.45,634.45,44687
5,2022-07-11 10:30:00,634.45,634.9,633.1,633.1,47506
6,2022-07-11 10:45:00,633.1,634.5,632.45,632.45,48215
7,2022-07-11 11:00:00,632.45,633.25,631.5,632.15,50099
8,2022-07-11 11:15:00,632.15,633.55,631.0,631.0,52790
9,2022-07-11 11:30:00,631.2,632.85,628.95,629.0,56765
10,2022-07-11 11:45:00,629.0,631.0,628.85,630.05,58850
11,2022-07-11 12:00:00,630.05,633.1,630.05,631.3,61088
12,2022-07-11 12:15:00,631.3,632.35,629.45,629.45,64046
13,2022-07-11 12:30:00,629.45,630.5,629.45,630.25,65008
14,2022-07-11 12:45:00,630.25,630.8,630.15,630.6,65317
15,2022-07-11 13:00:00,630.6,632.25,629.05,631.45,67254
16,2022-07-11 13:15:00,631.45,633.0,630.55,630.55,71412
17,2022-07-11 13:30:00,630.55,635.6,630.55,634.8,75502
18,2022-07-11 13:45:00,634.4,635.6,634.2,634.7,77783
19,2022-07-11 14:00:00,634.7,635.45,631.25,632.5,83027
20,2022-07-11 14:15:00,632.0,636.0,632.0,635.35,86655
21,2022-07-11 14:30:00,636.0,638.15,634.0,634.65,102144
22,2022-07-11 14:45:00,635.0,635.5,633.25,634.45,108606
23,2022-07-11 15:00:00,634.45,635.0,630.6,630.6,114722
24,2022-07-11 15:15:00,630.6,633.0,629.8,630.1,125695
25,2022-07-11 15:30:00,630.1,631.85,630.1,631.85,125695
26,2022-07-12 09:15:00,631.5,631.5,626.4,627.6,6634
27,2022-07-12 09:30:00,627.6,628.9,627.2,627.75,13260
28,2022-07-12 09:45:00,627.75,627.95,621.45,622.35,20905
29,2022-07-12 10:00:00,622.35,624.0,622.0,623.4,30319
30,2022-07-12 10:15:00,623.4,624.85,623.0,623.95,34110
31,2022-07-12 10:30:00,623.95,624.2,623.5,623.55,35056
32,2022-07-12 10:45:00,623.55,626.0,623.3,626.0,36755
