,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2833.9,2833.9,2799.7,2799.7,680
1,2022-07-25 09:30:00,2799.7,2801.9,2782.5,2786.95,1436
2,2022-07-25 09:45:00,2786.95,2787.75,2777.4,2785.9,1938
3,2022-07-25 10:00:00,2785.9,2785.9,2780.6,2785.9,2485
4,2022-07-25 10:15:00,2782.5,2800.8,2782.5,2792.2,2997
5,2022-07-25 10:30:00,2792.2,2798.0,2792.2,2797.85,3214
6,2022-07-25 10:45:00,2797.85,2797.85,2790.0,2792.95,3253
7,2022-07-25 11:00:00,2792.95,2795.45,2784.95,2787.05,3542
8,2022-07-25 11:15:00,2787.05,2793.3,2780.0,2787.55,3780
9,2022-07-25 11:30:00,2787.55,2787.55,2775.15,2775.8,4027
10,2022-07-25 11:45:00,2776.0,2794.1,2776.0,2794.1,4245
11,2022-07-25 12:00:00,2794.1,2794.1,2785.35,2789.4,4368
12,2022-07-25 12:15:00,2789.4,2800.0,2789.4,2792.5,4493
13,2022-07-25 12:30:00,2792.5,2798.0,2788.75,2789.85,4677
14,2022-07-25 12:45:00,2789.85,2800.0,2789.1,2794.55,4740
15,2022-07-25 13:00:00,2794.55,2799.6,2785.6,2799.6,5068
16,2022-07-25 13:15:00,2799.6,2805.0,2799.0,2799.0,5180
17,2022-07-25 13:30:00,2799.0,2800.0,2792.0,2800.0,5275
18,2022-07-25 13:45:00,2800.0,2805.4,2795.7,2805.35,5445
19,2022-07-25 14:00:00,2805.35,2818.0,2800.95,2817.85,5603
20,2022-07-25 14:15:00,2817.85,2818.0,2812.0,2817.25,5978
21,2022-07-25 14:30:00,2817.25,2817.25,2809.05,2811.6,6290
22,2022-07-25 14:45:00,2811.6,2817.05,2810.65,2816.95,6518
23,2022-07-25 15:00:00,2816.95,2818.8,2810.95,2814.0,6633
24,2022-07-25 15:15:00,2813.2,2818.45,2781.0,2811.0,7263
25,2022-07-25 15:30:00,2799.55,2799.55,2799.55,2799.55,7759
