,Date,o,h,l,c,v
0,2022-07-11 09:15:00,967.8,973.7,964.0,964.55,37586
1,2022-07-11 09:30:00,964.55,970.6,963.9,969.1,56667
2,2022-07-11 09:45:00,968.65,969.6,965.9,966.1,71018
3,2022-07-11 10:00:00,966.65,966.65,960.25,961.3,90961
4,2022-07-11 10:15:00,961.0,962.0,958.5,959.55,117651
5,2022-07-11 10:30:00,959.55,960.65,958.15,959.3,128146
6,2022-07-11 10:45:00,959.3,959.7,957.0,957.95,140073
7,2022-07-11 11:00:00,957.95,959.75,955.1,958.85,156806
8,2022-07-11 11:15:00,958.85,959.55,957.25,957.25,164733
9,2022-07-11 11:30:00,957.25,959.8,957.2,957.85,175760
10,2022-07-11 11:45:00,957.85,958.8,957.15,958.8,183817
11,2022-07-11 12:00:00,958.8,959.8,958.0,959.55,190344
12,2022-07-11 12:15:00,959.55,959.55,957.25,957.25,203035
13,2022-07-11 12:30:00,957.25,958.05,956.5,956.95,211907
14,2022-07-11 12:45:00,956.95,957.95,956.55,957.4,217866
15,2022-07-11 13:00:00,957.65,958.0,957.05,958.0,227149
16,2022-07-11 13:15:00,958.0,960.45,957.15,958.9,244245
17,2022-07-11 13:30:00,958.95,960.6,958.95,959.5,263225
18,2022-07-11 13:45:00,959.5,960.8,958.75,960.05,288824
19,2022-07-11 14:00:00,959.95,965.5,959.8,965.5,332872
20,2022-07-11 14:15:00,965.5,965.55,962.05,962.75,375166
21,2022-07-11 14:30:00,962.75,964.5,961.4,963.9,391833
22,2022-07-11 14:45:00,963.9,965.15,962.2,962.75,413315
23,2022-07-11 15:00:00,962.75,965.45,962.35,964.85,471561
24,2022-07-11 15:15:00,964.95,965.65,963.0,963.0,526503
25,2022-07-11 15:30:00,964.4,964.4,964.4,964.4,526503
26,2022-07-12 09:15:00,963.0,964.9,957.05,961.25,20540
27,2022-07-12 09:30:00,961.35,963.8,959.0,962.35,43658
28,2022-07-12 09:45:00,962.35,964.9,961.3,963.75,58591
29,2022-07-12 10:00:00,963.75,970.7,963.2,970.0,96749
30,2022-07-12 10:15:00,970.0,971.8,967.5,970.25,155431
31,2022-07-12 10:30:00,970.0,971.7,968.25,968.95,169342
32,2022-07-12 10:45:00,968.95,969.25,966.45,967.8,189952
