,Date,o,h,l,c,v
0,2022-07-11 09:15:00,218.2,220.6,216.95,218.25,72486
1,2022-07-11 09:30:00,218.5,221.0,218.3,221.0,103421
2,2022-07-11 09:45:00,221.0,221.5,219.4,219.75,128883
3,2022-07-11 10:00:00,219.75,220.5,219.05,220.2,156974
4,2022-07-11 10:15:00,220.2,221.0,219.7,220.75,169318
5,2022-07-11 10:30:00,220.75,220.75,220.15,220.5,178651
6,2022-07-11 10:45:00,220.5,221.0,220.2,220.95,187894
7,2022-07-11 11:00:00,220.95,220.95,220.05,220.45,202807
8,2022-07-11 11:15:00,220.45,220.7,220.0,220.05,205175
9,2022-07-11 11:30:00,220.05,221.0,220.05,220.25,212575
10,2022-07-11 11:45:00,220.25,220.25,219.75,220.0,215959
11,2022-07-11 12:00:00,220.0,221.0,220.0,220.4,222723
12,2022-07-11 12:15:00,220.4,222.75,220.4,222.2,277549
13,2022-07-11 12:30:00,222.2,222.5,221.95,221.95,288131
14,2022-07-11 12:45:00,221.95,222.2,221.45,221.95,293693
15,2022-07-11 13:00:00,222.0,222.7,221.5,222.4,309631
16,2022-07-11 13:15:00,222.4,223.3,222.35,223.0,327892
17,2022-07-11 13:30:00,223.0,224.0,222.65,223.55,372747
18,2022-07-11 13:45:00,223.55,223.8,223.2,223.2,381000
19,2022-07-11 14:00:00,223.2,223.55,222.8,223.1,395186
20,2022-07-11 14:15:00,223.35,223.35,221.25,221.3,443181
21,2022-07-11 14:30:00,221.3,222.6,221.3,222.1,461743
22,2022-07-11 14:45:00,222.1,222.45,221.65,222.15,478506
23,2022-07-11 15:00:00,222.15,222.7,221.95,222.65,506035
24,2022-07-11 15:15:00,222.65,222.65,221.1,221.85,545044
25,2022-07-11 15:30:00,221.3,222.1,221.3,222.1,546856
26,2022-07-12 09:15:00,221.7,226.0,219.4,224.2,108625
27,2022-07-12 09:30:00,224.2,224.2,220.5,221.0,252796
28,2022-07-12 09:45:00,221.0,221.25,218.5,218.5,345905
29,2022-07-12 10:00:00,218.15,220.2,218.15,219.45,430720
30,2022-07-12 10:15:00,219.45,219.75,218.3,219.35,458230
31,2022-07-12 10:30:00,219.35,219.5,218.55,218.8,477288
32,2022-07-12 10:45:00,218.1,218.5,217.55,218.4,518498
