,Date,o,h,l,c,v
0,2022-07-11 09:15:00,70.15,70.5,69.75,70.05,155668
1,2022-07-11 09:30:00,70.15,70.45,69.85,70.35,199835
2,2022-07-11 09:45:00,70.35,70.5,70.15,70.25,224458
3,2022-07-11 10:00:00,70.25,70.35,70.2,70.35,232606
4,2022-07-11 10:15:00,70.35,70.45,70.25,70.4,246979
5,2022-07-11 10:30:00,70.4,70.65,70.35,70.45,280015
6,2022-07-11 10:45:00,70.45,70.95,70.45,70.85,322511
7,2022-07-11 11:00:00,70.9,70.9,70.65,70.8,350013
8,2022-07-11 11:15:00,70.8,70.95,70.65,70.65,369596
9,2022-07-11 11:30:00,70.65,70.8,70.45,70.5,388189
10,2022-07-11 11:45:00,70.5,70.5,70.3,70.5,402205
11,2022-07-11 12:00:00,70.5,70.75,70.3,70.4,457862
12,2022-07-11 12:15:00,70.4,70.8,70.4,70.45,483176
13,2022-07-11 12:30:00,70.45,70.45,70.2,70.25,499232
14,2022-07-11 12:45:00,70.25,70.65,70.2,70.5,517686
15,2022-07-11 13:00:00,70.5,70.8,70.5,70.7,538941
16,2022-07-11 13:15:00,70.7,70.85,70.55,70.8,563873
17,2022-07-11 13:30:00,70.8,70.85,70.5,70.5,576365
18,2022-07-11 13:45:00,70.5,70.85,70.5,70.65,598279
19,2022-07-11 14:00:00,70.7,70.95,70.5,70.7,633045
20,2022-07-11 14:15:00,70.7,70.8,70.6,70.7,637720
21,2022-07-11 14:30:00,70.7,70.8,70.65,70.7,649084
22,2022-07-11 14:45:00,70.7,70.75,70.5,70.6,665806
23,2022-07-11 15:00:00,70.6,71.0,70.5,70.75,708894
24,2022-07-11 15:15:00,70.75,71.0,70.65,70.8,756780
25,2022-07-11 15:30:00,70.8,70.8,70.8,70.8,756780
26,2022-07-12 09:15:00,70.65,70.7,69.8,70.5,65320
27,2022-07-12 09:30:00,70.5,71.5,70.5,71.15,163786
28,2022-07-12 09:45:00,71.15,71.55,71.05,71.5,242293
29,2022-07-12 10:00:00,71.5,71.7,71.1,71.15,324678
30,2022-07-12 10:15:00,71.15,71.25,71.0,71.05,351997
31,2022-07-12 10:30:00,71.1,71.2,70.8,70.85,376026
32,2022-07-12 10:45:00,70.85,70.85,70.75,70.8,393569
