,Date,o,h,l,c,v
0,2022-07-25 09:15:00,14.85,14.9,14.1,14.25,27348749
1,2022-07-25 09:30:00,14.2,14.3,14.15,14.15,53613046
2,2022-07-25 09:45:00,14.2,14.2,14.05,14.1,64372131
3,2022-07-25 10:00:00,14.1,14.15,13.9,14.05,76845600
4,2022-07-25 10:15:00,14.05,14.15,14.0,14.1,86448743
5,2022-07-25 10:30:00,14.1,14.1,14.0,14.05,92522491
6,2022-07-25 10:45:00,14.0,14.1,14.0,14.1,97046300
7,2022-07-25 11:00:00,14.1,14.1,14.05,14.05,98635719
8,2022-07-25 11:15:00,14.1,14.2,14.05,14.15,104202480
9,2022-07-25 11:30:00,14.15,14.15,14.1,14.15,106208048
10,2022-07-25 11:45:00,14.15,14.15,14.1,14.15,107747950
11,2022-07-25 12:00:00,14.1,14.2,14.1,14.15,109771335
12,2022-07-25 12:15:00,14.2,14.25,14.15,14.2,111642086
13,2022-07-25 12:30:00,14.15,14.2,14.15,14.2,113347332
14,2022-07-25 12:45:00,14.2,14.2,14.15,14.2,114299542
15,2022-07-25 13:00:00,14.2,14.2,14.1,14.2,116241026
16,2022-07-25 13:15:00,14.15,14.2,14.15,14.2,118035091
17,2022-07-25 13:30:00,14.2,14.2,14.15,14.2,118983105
18,2022-07-25 13:45:00,14.2,14.35,14.15,14.25,125601218
19,2022-07-25 14:00:00,14.25,14.3,14.25,14.3,129548797
20,2022-07-25 14:15:00,14.3,14.35,14.25,14.3,131269238
21,2022-07-25 14:30:00,14.3,14.35,14.2,14.25,136201603
22,2022-07-25 14:45:00,14.25,14.3,14.2,14.25,140265288
23,2022-07-25 15:00:00,14.3,14.3,14.2,14.25,143792818
24,2022-07-25 15:15:00,14.2,14.3,14.15,14.25,157249063
25,2022-07-25 15:30:00,14.2,14.25,14.2,14.25,161935734
