,Date,o,h,l,c,v
0,2022-07-25 09:15:00,235.7,237.0,234.2,234.3,345992
1,2022-07-25 09:30:00,234.0,234.4,233.25,233.6,763566
2,2022-07-25 09:45:00,233.55,233.65,232.65,233.5,958000
3,2022-07-25 10:00:00,233.45,233.5,232.2,232.95,1227887
4,2022-07-25 10:15:00,232.95,233.2,232.5,232.5,1422703
5,2022-07-25 10:30:00,232.4,232.8,231.85,232.45,1556514
6,2022-07-25 10:45:00,232.45,232.55,231.95,232.2,1649276
7,2022-07-25 11:00:00,232.2,232.4,231.6,231.7,1758885
8,2022-07-25 11:15:00,231.7,232.25,231.5,232.0,1856725
9,2022-07-25 11:30:00,232.0,232.4,231.95,232.25,1925863
10,2022-07-25 11:45:00,232.25,232.75,232.05,232.5,1999532
11,2022-07-25 12:00:00,232.5,232.75,231.9,232.05,2049190
12,2022-07-25 12:15:00,232.05,232.6,232.0,232.3,2096702
13,2022-07-25 12:30:00,232.3,233.15,231.5,232.1,2234370
14,2022-07-25 12:45:00,232.1,232.2,231.65,232.0,2367990
15,2022-07-25 13:00:00,232.0,232.0,230.85,231.9,2470792
16,2022-07-25 13:15:00,231.95,232.7,231.8,232.6,2614786
17,2022-07-25 13:30:00,232.6,233.5,232.2,233.35,2767747
18,2022-07-25 13:45:00,233.35,233.8,233.2,233.45,2920618
19,2022-07-25 14:00:00,233.45,233.95,233.2,233.9,3033062
20,2022-07-25 14:15:00,233.9,234.8,233.55,234.65,3203690
21,2022-07-25 14:30:00,234.65,234.9,234.25,234.7,3373148
22,2022-07-25 14:45:00,234.7,235.1,234.35,234.95,3506636
23,2022-07-25 15:00:00,234.75,234.75,233.35,233.45,3691070
24,2022-07-25 15:15:00,233.45,233.55,233.0,233.0,3921622
25,2022-07-25 15:30:00,233.5,233.5,233.5,233.5,3994400
