,Date,o,h,l,c,v
0,2022-07-11 09:15:00,7702.0,7781.75,7702.0,7760.0,192
1,2022-07-11 09:30:00,7760.0,7767.15,7758.95,7760.0,200
2,2022-07-11 09:45:00,7760.0,7782.0,7760.0,7761.55,248
3,2022-07-11 10:00:00,7761.55,7767.2,7761.55,7767.1,298
4,2022-07-11 10:15:00,7766.85,7769.95,7763.85,7767.15,355
5,2022-07-11 10:30:00,7767.15,7767.15,7745.35,7762.05,392
6,2022-07-11 10:45:00,7762.05,7767.1,7762.05,7767.1,394
7,2022-07-11 11:00:00,7767.1,7767.1,7745.35,7745.35,400
8,2022-07-11 11:15:00,7745.35,7752.5,7740.3,7740.3,407
9,2022-07-11 11:30:00,7740.3,7740.3,7740.3,7740.3,407
10,2022-07-11 11:45:00,7740.3,7748.7,7730.75,7738.2,450
11,2022-07-11 12:00:00,7738.2,7758.35,7738.2,7758.35,451
12,2022-07-11 12:15:00,7758.35,7758.35,7758.35,7758.35,451
13,2022-07-11 12:30:00,7758.35,7770.0,7752.75,7752.75,553
14,2022-07-11 12:45:00,7752.75,7752.75,7752.75,7752.75,553
15,2022-07-11 13:00:00,7752.75,7760.2,7752.75,7760.2,554
16,2022-07-11 13:15:00,7760.2,7760.2,7750.0,7750.0,594
17,2022-07-11 13:30:00,7750.0,7766.1,7750.0,7766.1,603
18,2022-07-11 13:45:00,7766.1,7766.1,7702.0,7702.0,7032
19,2022-07-11 14:00:00,7702.0,7720.0,7702.0,7711.05,7079
20,2022-07-11 14:15:00,7711.05,7719.2,7708.6,7719.2,7082
21,2022-07-11 14:30:00,7719.2,7720.0,7708.0,7720.0,7189
22,2022-07-11 14:45:00,7720.0,7760.0,7712.1,7712.1,8518
23,2022-07-11 15:00:00,7712.1,7750.85,7707.0,7710.05,8682
24,2022-07-11 15:15:00,7710.05,7720.0,7700.0,7700.0,8795
25,2022-07-11 15:30:00,7700.0,7716.05,7700.0,7716.05,8795
26,2022-07-12 09:15:00,7700.0,7815.0,7700.0,7807.65,101
27,2022-07-12 09:30:00,7807.65,7815.0,7744.95,7773.15,331
28,2022-07-12 09:45:00,7773.15,7802.55,7773.15,7801.95,378
29,2022-07-12 10:00:00,7801.95,7802.0,7784.95,7796.2,434
30,2022-07-12 10:15:00,7796.2,7796.2,7777.45,7785.0,528
31,2022-07-12 10:30:00,7785.0,7800.0,7785.0,7790.8,558
32,2022-07-12 10:45:00,7790.8,7800.0,7790.8,7800.0,679
