,Date,o,h,l,c,v
0,2022-07-25 09:15:00,350.5,352.65,350.05,350.5,47393
1,2022-07-25 09:30:00,350.5,350.55,348.85,349.3,129911
2,2022-07-25 09:45:00,349.3,349.35,348.0,349.15,176436
3,2022-07-25 10:00:00,349.15,349.4,347.55,349.05,216927
4,2022-07-25 10:15:00,349.05,349.9,348.5,349.35,246597
5,2022-07-25 10:30:00,349.5,349.85,349.0,349.8,268678
6,2022-07-25 10:45:00,349.85,349.9,349.2,349.4,282831
7,2022-07-25 11:00:00,349.4,349.6,348.25,348.7,295397
8,2022-07-25 11:15:00,348.7,348.85,347.8,348.0,315321
9,2022-07-25 11:30:00,348.0,348.05,346.35,346.85,386315
10,2022-07-25 11:45:00,346.85,347.35,345.75,346.1,437671
11,2022-07-25 12:00:00,345.95,347.0,345.9,346.85,475932
12,2022-07-25 12:15:00,346.85,347.05,346.2,346.2,491604
13,2022-07-25 12:30:00,346.2,346.75,346.05,346.65,503580
14,2022-07-25 12:45:00,346.65,346.75,346.3,346.75,512815
15,2022-07-25 13:00:00,346.75,346.75,346.25,346.5,519002
16,2022-07-25 13:15:00,346.5,346.9,346.25,346.65,526847
17,2022-07-25 13:30:00,346.65,346.7,346.25,346.65,534577
18,2022-07-25 13:45:00,346.65,347.5,346.65,347.3,542615
19,2022-07-25 14:00:00,347.3,348.2,347.05,348.15,557337
20,2022-07-25 14:15:00,348.15,348.95,347.85,348.95,570840
21,2022-07-25 14:30:00,348.85,349.35,348.35,348.9,585352
22,2022-07-25 14:45:00,348.9,349.0,348.2,348.5,596913
23,2022-07-25 15:00:00,348.75,348.75,347.35,347.75,636955
24,2022-07-25 15:15:00,347.65,347.75,346.1,346.3,694137
25,2022-07-25 15:30:00,346.15,347.3,346.15,347.3,729289
