,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1616.25,1616.25,1605.4,1606.0,1119
1,2022-07-11 09:30:00,1606.0,1607.9,1598.0,1600.6,1872
2,2022-07-11 09:45:00,1600.6,1604.65,1591.0,1594.15,2399
3,2022-07-11 10:00:00,1592.35,1598.95,1591.0,1591.0,2703
4,2022-07-11 10:15:00,1591.0,1595.7,1591.0,1593.4,2775
5,2022-07-11 10:30:00,1593.4,1598.85,1593.15,1596.7,2980
6,2022-07-11 10:45:00,1596.7,1600.0,1593.95,1594.85,3432
7,2022-07-11 11:00:00,1594.9,1595.85,1593.85,1593.85,3468
8,2022-07-11 11:15:00,1593.85,1595.0,1593.0,1593.4,3610
9,2022-07-11 11:30:00,1593.4,1594.4,1590.0,1590.0,4090
10,2022-07-11 11:45:00,1590.4,1594.95,1590.0,1591.05,4170
11,2022-07-11 12:00:00,1591.05,1594.3,1591.05,1594.25,4178
12,2022-07-11 12:15:00,1594.25,1595.0,1592.8,1595.0,4365
13,2022-07-11 12:30:00,1593.05,1594.95,1591.1,1594.95,4464
14,2022-07-11 12:45:00,1594.95,1595.0,1591.55,1591.55,4495
15,2022-07-11 13:00:00,1592.9,1594.95,1592.0,1593.6,4602
16,2022-07-11 13:15:00,1593.65,1595.9,1592.35,1593.1,4646
17,2022-07-11 13:30:00,1595.0,1595.0,1592.0,1593.35,4742
18,2022-07-11 13:45:00,1593.35,1595.0,1591.95,1594.9,4905
19,2022-07-11 14:00:00,1595.0,1595.0,1592.2,1593.55,4997
20,2022-07-11 14:15:00,1593.55,1594.95,1591.2,1593.0,5180
21,2022-07-11 14:30:00,1593.0,1594.95,1592.2,1593.0,5322
22,2022-07-11 14:45:00,1593.0,1593.0,1590.85,1591.2,5545
23,2022-07-11 15:00:00,1591.2,1591.2,1577.15,1586.4,7018
24,2022-07-11 15:15:00,1586.5,1587.85,1577.1,1584.0,8896
25,2022-07-11 15:30:00,1584.0,1584.15,1584.0,1584.15,8911
26,2022-07-12 09:15:00,1592.5,1592.5,1580.1,1581.65,292
27,2022-07-12 09:30:00,1581.65,1584.0,1577.55,1582.0,1895
28,2022-07-12 09:45:00,1582.0,1582.65,1579.0,1582.65,3397
29,2022-07-12 10:00:00,1582.65,1582.95,1579.0,1580.0,3671
30,2022-07-12 10:15:00,1580.0,1582.7,1576.55,1580.0,3838
31,2022-07-12 10:30:00,1580.0,1581.65,1575.0,1575.1,3940
32,2022-07-12 10:45:00,1575.1,1577.4,1575.1,1577.4,4038
