,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,200.3,203.55,200.3,202.6,236154
1,1,2022-07-11 09:30:00,202.6,204.05,201.9,203.7,361343
2,2,2022-07-11 09:45:00,203.7,204.25,203.25,203.55,417432
3,3,2022-07-11 10:00:00,203.55,203.65,202.75,202.95,467777
4,4,2022-07-11 10:15:00,202.9,203.2,202.5,202.95,507504
5,5,2022-07-11 10:30:00,202.95,203.65,202.75,203.0,531253
6,6,2022-07-11 10:45:00,203.0,203.35,202.65,202.7,578581
7,7,2022-07-11 11:00:00,202.8,202.95,202.55,202.85,592497
8,8,2022-07-11 11:15:00,202.85,202.95,202.0,202.0,637548
9,9,2022-07-11 11:30:00,202.0,202.55,201.8,202.2,677261
10,10,2022-07-11 11:45:00,202.2,202.6,201.5,202.6,712118
11,11,2022-07-11 12:00:00,202.6,203.15,202.55,202.6,736650
12,12,2022-07-11 12:15:00,202.6,203.1,202.4,202.85,754233
13,13,2022-07-11 12:30:00,202.85,203.55,202.6,203.25,803197
14,14,2022-07-11 12:45:00,203.25,203.25,202.9,203.05,815821
15,15,2022-07-11 13:00:00,203.05,204.3,202.95,204.0,907009
16,16,2022-07-11 13:15:00,204.0,204.55,202.9,203.4,1188512
17,17,2022-07-11 13:30:00,203.45,203.95,203.4,203.6,1229271
18,18,2022-07-11 13:45:00,203.6,204.1,203.6,203.85,1259926
19,19,2022-07-11 14:00:00,203.85,205.4,203.85,204.95,1399689
20,20,2022-07-11 14:15:00,204.85,205.4,204.8,205.1,1449651
21,21,2022-07-11 14:30:00,205.25,205.75,204.9,205.35,1524128
22,22,2022-07-11 14:45:00,205.35,206.3,205.2,206.1,1642802
23,23,2022-07-11 15:00:00,206.0,208.25,205.5,207.65,1879626
24,24,2022-07-11 15:15:00,207.8,208.7,205.75,206.65,2144913
25,25,2022-07-11 15:30:00,207.5,207.5,207.5,207.5,2144975
26,26,2022-07-12 09:15:00,205.9,207.45,204.7,205.65,114265
27,27,2022-07-12 09:30:00,205.75,206.15,205.35,205.6,188320
28,28,2022-07-12 09:45:00,205.6,205.95,205.25,205.45,235256
29,29,2022-07-12 10:00:00,205.35,206.3,205.25,206.05,288098
30,30,2022-07-12 10:15:00,206.05,206.4,205.8,206.1,341507
31,31,2022-07-12 10:30:00,206.1,207.15,205.9,207.15,372148
32,32,2022-07-12 10:45:00,207.15,207.15,206.5,206.6,404483
