,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-25 09:15:00,8399.95,8400.0,8365.0,8389.95,1634
1,1,2022-07-25 09:30:00,8389.95,8390.0,8365.5,8381.45,2805
2,2,2022-07-25 09:45:00,8381.45,8400.0,8365.9,8395.05,3846
3,3,2022-07-25 10:00:00,8395.05,8399.95,8384.35,8397.9,4539
4,4,2022-07-25 10:15:00,8397.9,8400.0,8385.4,8397.55,4878
5,5,2022-07-25 10:30:00,8397.55,8400.0,8393.0,8400.0,5602
6,6,2022-07-25 10:45:00,8400.0,8400.0,8393.05,8400.0,6326
7,7,2022-07-25 11:00:00,8400.0,8400.0,8388.85,8400.0,6693
8,8,2022-07-25 11:15:00,8394.3,8400.0,8390.1,8399.95,6966
9,9,2022-07-25 11:30:00,8399.95,8400.0,8394.0,8400.0,7119
10,10,2022-07-25 11:45:00,8400.0,8400.0,8395.0,8400.0,7368
11,11,2022-07-25 12:00:00,8400.0,8400.0,8395.0,8395.25,7512
12,12,2022-07-25 12:15:00,8395.25,8400.0,8384.7,8384.9,7796
13,13,2022-07-25 12:30:00,8384.9,8399.95,8384.9,8390.0,8202
14,14,2022-07-25 12:45:00,8390.0,8390.0,8372.55,8379.35,8588
15,15,2022-07-25 13:00:00,8379.35,8390.0,8378.65,8390.0,9116
16,16,2022-07-25 13:15:00,8390.0,8390.0,8350.0,8363.5,9314
17,17,2022-07-25 13:30:00,8363.5,8363.5,8333.05,8339.9,9637
18,18,2022-07-25 13:45:00,8339.9,8363.5,8339.9,8362.75,10074
19,19,2022-07-25 14:00:00,8362.75,8363.5,8354.7,8363.5,10264
20,20,2022-07-25 14:15:00,8363.5,8390.0,8363.4,8387.95,10410
21,21,2022-07-25 14:30:00,8387.95,8389.0,8373.0,8373.0,10589
22,22,2022-07-25 14:45:00,8373.0,8389.9,8372.95,8389.9,10777
23,23,2022-07-25 15:00:00,8389.9,8390.05,8377.6,8390.0,11002
24,24,2022-07-25 15:15:00,8394.95,8394.95,8335.05,8350.0,11815
25,25,2022-07-25 15:30:00,8374.45,8374.45,8374.45,8374.45,12217
