,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,16100.0,16234.95,16000.0,16220.0,1881
1,1,2022-07-11 09:30:00,16220.0,16450.0,16201.95,16425.0,6378
2,2,2022-07-11 09:45:00,16422.4,16525.9,16410.2,16425.0,11244
3,3,2022-07-11 10:00:00,16425.0,16426.0,16310.0,16320.9,13406
4,4,2022-07-11 10:15:00,16321.0,16440.0,16296.05,16426.4,15094
5,5,2022-07-11 10:30:00,16426.4,16444.0,16380.05,16409.95,16282
6,6,2022-07-11 10:45:00,16409.95,16440.0,16380.0,16440.0,17060
7,7,2022-07-11 11:00:00,16440.0,16450.0,16418.75,16444.95,17885
8,8,2022-07-11 11:15:00,16444.95,16445.9,16422.5,16427.05,18492
9,9,2022-07-11 11:30:00,16427.05,16524.0,16427.05,16460.05,20303
10,10,2022-07-11 11:45:00,16460.05,16526.0,16453.55,16508.25,21585
11,11,2022-07-11 12:00:00,16508.25,16530.0,16382.15,16424.0,23491
12,12,2022-07-11 12:15:00,16414.0,16419.8,16328.9,16347.95,25082
13,13,2022-07-11 12:30:00,16347.95,16391.85,16251.65,16366.7,29192
14,14,2022-07-11 12:45:00,16366.7,16400.0,16355.0,16387.25,29891
15,15,2022-07-11 13:00:00,16387.25,16425.05,16368.05,16424.95,30495
16,16,2022-07-11 13:15:00,16424.95,16449.55,16382.85,16425.0,31419
17,17,2022-07-11 13:30:00,16425.0,16521.7,16425.0,16519.75,33473
18,18,2022-07-11 13:45:00,16519.75,16605.0,16510.3,16513.0,37581
19,19,2022-07-11 14:00:00,16513.0,16568.0,16505.7,16537.65,38671
20,20,2022-07-11 14:15:00,16537.65,16553.0,16478.6,16502.45,39895
21,21,2022-07-11 14:30:00,16502.45,16523.25,16468.65,16499.95,40765
22,22,2022-07-11 14:45:00,16499.95,16524.9,16475.0,16503.7,41559
23,23,2022-07-11 15:00:00,16490.0,16560.0,16480.0,16527.15,43715
24,24,2022-07-11 15:15:00,16527.15,16600.0,16519.7,16596.0,47935
25,25,2022-07-11 15:30:00,16554.95,16554.95,16554.95,16554.95,47935
26,26,2022-07-12 09:15:00,16554.95,16554.95,16442.9,16490.0,1115
27,27,2022-07-12 09:30:00,16490.0,16500.0,16462.05,16485.25,1736
28,28,2022-07-12 09:45:00,16476.75,16550.0,16476.75,16506.0,2306
29,29,2022-07-12 10:00:00,16506.0,16525.0,16490.0,16490.0,2606
30,30,2022-07-12 10:15:00,16490.0,16498.0,16472.0,16497.85,2990
31,31,2022-07-12 10:30:00,16497.85,16497.85,16470.0,16480.85,3362
32,32,2022-07-12 10:45:00,16480.85,16480.85,16460.0,16468.05,3699
