,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,108.05,109.15,107.8,108.6,77409
1,1,2022-07-11 09:30:00,108.55,108.85,108.45,108.7,110238
2,2,2022-07-11 09:45:00,108.75,109.0,108.35,108.7,159921
3,3,2022-07-11 10:00:00,108.7,108.9,108.55,108.85,179621
4,4,2022-07-11 10:15:00,108.75,108.85,108.55,108.6,187735
5,5,2022-07-11 10:30:00,108.6,108.65,108.5,108.55,197858
6,6,2022-07-11 10:45:00,108.55,108.65,108.4,108.4,210123
7,7,2022-07-11 11:00:00,108.4,108.55,108.35,108.55,214685
8,8,2022-07-11 11:15:00,108.55,108.55,108.35,108.45,220352
9,9,2022-07-11 11:30:00,108.45,108.55,108.35,108.35,226307
10,10,2022-07-11 11:45:00,108.35,108.4,108.3,108.4,244282
11,11,2022-07-11 12:00:00,108.4,108.4,108.3,108.35,246985
12,12,2022-07-11 12:15:00,108.4,108.4,108.35,108.35,254442
13,13,2022-07-11 12:30:00,108.35,108.65,108.25,108.6,271317
14,14,2022-07-11 12:45:00,108.6,108.7,108.5,108.65,280156
15,15,2022-07-11 13:00:00,108.65,108.7,108.5,108.65,292294
16,16,2022-07-11 13:15:00,108.65,108.7,108.6,108.65,303018
17,17,2022-07-11 13:30:00,108.7,108.85,108.65,108.85,309208
18,18,2022-07-11 13:45:00,108.85,108.9,108.7,108.8,321274
19,19,2022-07-11 14:00:00,108.8,108.9,108.6,108.7,329340
20,20,2022-07-11 14:15:00,108.7,108.8,108.55,108.7,338178
21,21,2022-07-11 14:30:00,108.75,108.8,108.6,108.65,351482
22,22,2022-07-11 14:45:00,108.65,108.9,108.6,108.85,362198
23,23,2022-07-11 15:00:00,108.85,109.4,108.75,109.25,604594
24,24,2022-07-11 15:15:00,109.25,109.35,108.3,108.75,1157445
25,25,2022-07-11 15:30:00,108.75,109.0,108.75,109.0,1157455
26,26,2022-07-12 09:15:00,109.0,109.45,108.3,109.1,28935
27,27,2022-07-12 09:30:00,109.1,109.4,109.0,109.4,81487
28,28,2022-07-12 09:45:00,109.4,109.4,109.1,109.15,153831
29,29,2022-07-12 10:00:00,109.15,109.35,109.15,109.35,245557
30,30,2022-07-12 10:15:00,109.35,109.4,109.25,109.35,689031
31,31,2022-07-12 10:30:00,109.35,109.4,109.3,109.35,700315
32,32,2022-07-12 10:45:00,109.35,109.4,109.25,109.25,707835
