,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-25 09:15:00,331.75,332.0,322.3,322.55,104517
1,1,2022-07-25 09:30:00,322.55,323.65,321.15,322.8,136826
2,2,2022-07-25 09:45:00,322.8,322.9,312.05,315.4,174850
3,3,2022-07-25 10:00:00,315.4,315.95,314.4,315.75,229794
4,4,2022-07-25 10:15:00,315.75,316.65,315.55,315.75,238542
5,5,2022-07-25 10:30:00,315.75,316.9,315.15,316.8,247121
6,6,2022-07-25 10:45:00,316.75,316.75,315.8,316.0,252008
7,7,2022-07-25 11:00:00,316.0,316.05,314.75,315.25,255037
8,8,2022-07-25 11:15:00,315.25,316.95,315.0,315.65,260262
9,9,2022-07-25 11:30:00,315.65,318.85,315.6,318.0,270574
10,10,2022-07-25 11:45:00,318.0,319.05,317.6,318.8,283991
11,11,2022-07-25 12:00:00,319.0,319.0,318.0,318.05,286864
12,12,2022-07-25 12:15:00,318.05,318.6,318.05,318.6,290759
13,13,2022-07-25 12:30:00,318.6,321.0,318.15,320.1,296351
14,14,2022-07-25 12:45:00,320.0,321.0,319.4,321.0,304406
15,15,2022-07-25 13:00:00,321.0,322.0,320.75,321.35,310865
16,16,2022-07-25 13:15:00,321.35,321.55,320.75,321.0,314397
17,17,2022-07-25 13:30:00,321.0,322.0,321.0,321.55,315881
18,18,2022-07-25 13:45:00,321.55,321.9,321.4,321.6,318146
19,19,2022-07-25 14:00:00,321.6,322.75,321.2,322.45,320683
20,20,2022-07-25 14:15:00,322.6,323.45,322.45,323.0,328078
21,21,2022-07-25 14:30:00,323.0,326.5,323.0,323.4,339397
22,22,2022-07-25 14:45:00,323.4,324.8,322.3,324.8,356712
23,23,2022-07-25 15:00:00,324.9,324.9,323.05,324.2,366215
24,24,2022-07-25 15:15:00,324.3,324.5,323.05,324.0,388874
25,25,2022-07-25 15:30:00,323.9,323.9,323.9,323.9,395875
