,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,202.7,208.65,202.7,205.6,258111
1,1,2022-07-11 09:30:00,205.5,207.3,204.25,207.0,343227
2,2,2022-07-11 09:45:00,207.0,207.0,206.0,206.3,376332
3,3,2022-07-11 10:00:00,206.3,206.6,205.65,205.95,401145
4,4,2022-07-11 10:15:00,206.15,207.4,206.15,206.6,428465
5,5,2022-07-11 10:30:00,206.45,207.0,206.4,206.7,442965
6,6,2022-07-11 10:45:00,206.7,207.2,206.45,207.0,451810
7,7,2022-07-11 11:00:00,207.0,207.05,206.1,206.15,461014
8,8,2022-07-11 11:15:00,206.15,206.4,205.15,205.3,474956
9,9,2022-07-11 11:30:00,205.3,205.7,205.05,205.05,485188
10,10,2022-07-11 11:45:00,205.05,205.75,204.65,205.75,496153
11,11,2022-07-11 12:00:00,205.75,206.2,205.3,205.75,503705
12,12,2022-07-11 12:15:00,205.75,205.75,205.3,205.6,507729
13,13,2022-07-11 12:30:00,205.6,205.95,205.3,205.85,510849
14,14,2022-07-11 12:45:00,205.85,206.3,205.65,206.3,513500
15,15,2022-07-11 13:00:00,206.3,206.7,206.0,206.4,518145
16,16,2022-07-11 13:15:00,206.4,206.75,205.8,206.05,526724
17,17,2022-07-11 13:30:00,206.05,206.6,206.0,206.4,543280
18,18,2022-07-11 13:45:00,206.4,207.2,206.05,206.25,559121
19,19,2022-07-11 14:00:00,206.35,206.6,206.1,206.5,566539
20,20,2022-07-11 14:15:00,206.5,206.6,205.95,206.45,579732
21,21,2022-07-11 14:30:00,206.5,206.5,205.8,205.95,585095
22,22,2022-07-11 14:45:00,205.8,206.15,205.4,205.6,598375
23,23,2022-07-11 15:00:00,205.6,206.4,204.25,204.65,652859
24,24,2022-07-11 15:15:00,204.6,205.35,204.0,204.5,719469
25,25,2022-07-11 15:30:00,204.5,205.0,204.5,205.0,719691
26,26,2022-07-12 09:15:00,208.2,209.0,205.3,208.2,93048
27,27,2022-07-12 09:30:00,208.25,208.45,207.2,207.75,152549
28,28,2022-07-12 09:45:00,207.75,207.9,207.2,207.45,177200
29,29,2022-07-12 10:00:00,207.45,207.75,207.2,207.65,187256
30,30,2022-07-12 10:15:00,207.65,207.7,207.1,207.3,198129
31,31,2022-07-12 10:30:00,207.3,207.6,206.65,206.85,207437
32,32,2022-07-12 10:45:00,206.85,207.45,206.35,207.3,225439
