,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,913.9,917.95,911.0,911.9,1332
1,1,2022-07-11 09:30:00,911.9,911.9,903.8,907.1,1976
2,2,2022-07-11 09:45:00,907.1,909.3,906.0,909.3,2240
3,3,2022-07-11 10:00:00,909.3,911.85,908.0,909.95,2898
4,4,2022-07-11 10:15:00,909.95,916.0,909.95,915.1,3582
5,5,2022-07-11 10:30:00,915.1,921.35,915.0,920.0,5291
6,6,2022-07-11 10:45:00,920.0,935.0,919.0,935.0,10131
7,7,2022-07-11 11:00:00,935.0,935.0,927.95,929.8,12417
8,8,2022-07-11 11:15:00,932.2,932.65,927.1,927.65,13430
9,9,2022-07-11 11:30:00,927.65,950.95,927.15,934.0,24137
10,10,2022-07-11 11:45:00,932.0,934.3,927.8,929.1,25220
11,11,2022-07-11 12:00:00,929.1,931.45,925.0,930.2,27089
12,12,2022-07-11 12:15:00,930.1,933.0,926.2,928.85,29513
13,13,2022-07-11 12:30:00,928.85,928.9,916.35,927.1,32369
14,14,2022-07-11 12:45:00,927.1,927.1,918.05,919.1,33345
15,15,2022-07-11 13:00:00,919.1,922.0,917.0,917.0,34366
16,16,2022-07-11 13:15:00,917.0,921.25,917.0,917.15,34538
17,17,2022-07-11 13:30:00,917.15,919.35,915.0,919.3,35141
18,18,2022-07-11 13:45:00,919.3,923.75,918.0,922.8,35651
19,19,2022-07-11 14:00:00,922.8,924.1,922.05,922.75,35941
20,20,2022-07-11 14:15:00,922.7,927.3,922.2,925.55,36923
21,21,2022-07-11 14:30:00,926.25,929.0,923.75,924.95,38049
22,22,2022-07-11 14:45:00,924.95,940.95,923.7,938.85,41824
23,23,2022-07-11 15:00:00,938.85,941.0,931.0,936.0,45953
24,24,2022-07-11 15:15:00,936.0,945.1,934.05,944.0,50297
25,25,2022-07-11 15:30:00,937.7,937.7,937.7,937.7,50298
26,26,2022-07-12 09:15:00,940.0,949.55,925.0,931.6,2874
27,27,2022-07-12 09:30:00,931.6,932.9,929.65,930.0,3981
28,28,2022-07-12 09:45:00,930.0,930.25,925.05,925.7,4251
29,29,2022-07-12 10:00:00,927.85,928.55,925.65,928.55,4564
30,30,2022-07-12 10:15:00,928.55,928.8,925.65,925.65,4776
31,31,2022-07-12 10:30:00,925.65,926.65,925.0,926.65,4925
32,32,2022-07-12 10:45:00,926.65,926.7,925.75,925.75,5016
