,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,351.95,354.55,348.0,353.35,1435363
1,1,2022-07-11 09:30:00,353.3,356.5,352.85,355.8,2248370
2,2,2022-07-11 09:45:00,355.8,355.9,354.25,354.65,2584138
3,3,2022-07-11 10:00:00,354.65,356.15,354.55,354.7,2858544
4,4,2022-07-11 10:15:00,354.8,356.0,353.55,355.3,3188545
5,5,2022-07-11 10:30:00,355.4,357.25,354.75,355.55,3594843
6,6,2022-07-11 10:45:00,355.55,356.5,354.85,355.3,3772740
7,7,2022-07-11 11:00:00,355.25,355.55,353.65,354.8,4042526
8,8,2022-07-11 11:15:00,354.8,355.0,353.05,353.35,4312097
9,9,2022-07-11 11:30:00,353.4,354.7,352.4,352.8,4556270
10,10,2022-07-11 11:45:00,352.8,353.75,352.2,353.5,4807717
11,11,2022-07-11 12:00:00,353.65,355.5,352.75,354.75,5218447
12,12,2022-07-11 12:15:00,354.75,355.75,353.7,354.0,5473813
13,13,2022-07-11 12:30:00,354.05,354.65,353.5,353.65,5630836
14,14,2022-07-11 12:45:00,353.65,355.5,353.55,355.3,5764131
15,15,2022-07-11 13:00:00,355.3,355.4,354.45,355.15,5894813
16,16,2022-07-11 13:15:00,355.15,360.7,355.0,359.2,7166879
17,17,2022-07-11 13:30:00,359.35,363.15,359.35,362.5,8853988
18,18,2022-07-11 13:45:00,362.5,363.25,358.3,358.5,9840485
19,19,2022-07-11 14:00:00,358.7,360.55,358.0,359.4,10605938
20,20,2022-07-11 14:15:00,359.35,360.5,358.75,360.15,10977027
21,21,2022-07-11 14:30:00,360.25,360.8,358.3,358.75,11356263
22,22,2022-07-11 14:45:00,358.75,358.85,356.2,356.7,11963036
23,23,2022-07-11 15:00:00,356.65,356.9,355.0,356.45,12779693
24,24,2022-07-11 15:15:00,356.4,357.65,355.35,357.0,13741519
25,25,2022-07-11 15:30:00,356.2,356.2,356.2,356.2,13743441
26,26,2022-07-12 09:15:00,350.6,350.8,341.8,344.4,2388287
27,27,2022-07-12 09:30:00,344.3,346.2,343.2,345.75,3777782
28,28,2022-07-12 09:45:00,345.7,347.65,345.5,347.5,4729403
29,29,2022-07-12 10:00:00,347.35,348.2,345.2,346.0,5517036
30,30,2022-07-12 10:15:00,345.9,346.95,345.25,346.7,6066642
31,31,2022-07-12 10:30:00,346.7,347.5,346.6,347.0,6487174
32,32,2022-07-12 10:45:00,347.15,347.45,346.75,347.05,6727781
