,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,35749.9,35939.95,35612.05,35729.25,246
1,1,2022-07-11 09:30:00,35729.25,35779.75,35482.55,35523.3,402
2,2,2022-07-11 09:45:00,35523.3,35578.9,35517.1,35569.9,451
3,3,2022-07-11 10:00:00,35569.9,35570.0,35426.2,35548.95,544
4,4,2022-07-11 10:15:00,35548.95,35550.0,35420.05,35426.05,624
5,5,2022-07-11 10:30:00,35489.15,35489.15,35424.7,35475.0,670
6,6,2022-07-11 10:45:00,35475.0,35516.75,35450.05,35497.35,747
7,7,2022-07-11 11:00:00,35497.35,35514.5,35450.45,35469.85,771
8,8,2022-07-11 11:15:00,35469.85,35507.0,35400.1,35447.35,907
9,9,2022-07-11 11:30:00,35400.85,35680.0,35400.85,35427.75,1101
10,10,2022-07-11 11:45:00,35427.75,35580.65,35427.75,35484.85,1126
11,11,2022-07-11 12:00:00,35484.85,35576.6,35484.85,35501.0,1142
12,12,2022-07-11 12:15:00,35501.0,35575.0,35501.0,35514.85,1163
13,13,2022-07-11 12:30:00,35514.85,35575.65,35514.85,35551.05,1213
14,14,2022-07-11 12:45:00,35551.05,35735.1,35551.05,35735.05,1345
15,15,2022-07-11 13:00:00,35735.05,35808.9,35672.2,35773.45,1567
16,16,2022-07-11 13:15:00,35773.45,35800.0,35702.95,35761.3,1647
17,17,2022-07-11 13:30:00,35761.3,35850.0,35731.55,35850.0,1741
18,18,2022-07-11 13:45:00,35840.4,35897.9,35822.3,35863.35,1804
19,19,2022-07-11 14:00:00,35863.35,35938.95,35861.5,35900.05,1877
20,20,2022-07-11 14:15:00,35900.05,36053.1,35900.0,36015.0,1987
21,21,2022-07-11 14:30:00,36015.0,36112.4,35928.2,36000.0,2233
22,22,2022-07-11 14:45:00,36000.0,36098.95,35938.4,36098.95,2317
23,23,2022-07-11 15:00:00,36098.95,36150.0,36019.35,36066.35,2474
24,24,2022-07-11 15:15:00,36066.35,36066.35,35634.1,35950.0,3094
25,25,2022-07-11 15:30:00,35961.3,35961.3,35961.3,35961.3,3095
26,26,2022-07-12 09:15:00,35895.05,35895.05,35394.0,35432.05,141
27,27,2022-07-12 09:30:00,35432.05,35589.85,35419.0,35589.85,412
28,28,2022-07-12 09:45:00,35589.85,35750.9,35530.05,35681.0,509
29,29,2022-07-12 10:00:00,35681.0,35829.95,35651.2,35653.95,624
30,30,2022-07-12 10:15:00,35653.95,35653.95,35561.2,35648.75,707
31,31,2022-07-12 10:30:00,35648.75,35700.0,35648.75,35650.05,723
32,32,2022-07-12 10:45:00,35650.05,35700.0,35650.0,35650.0,749
