,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,242.1,246.6,241.7,244.35,439997
1,1,2022-07-11 09:30:00,244.4,246.3,243.75,245.95,647802
2,2,2022-07-11 09:45:00,245.85,246.9,245.55,246.55,1191985
3,3,2022-07-11 10:00:00,246.55,246.6,245.85,246.45,1363864
4,4,2022-07-11 10:15:00,246.45,246.75,246.05,246.7,1435023
5,5,2022-07-11 10:30:00,246.7,247.0,246.5,246.95,1526492
6,6,2022-07-11 10:45:00,246.95,247.25,246.5,247.0,1659224
7,7,2022-07-11 11:00:00,247.0,247.2,246.8,247.0,1743066
8,8,2022-07-11 11:15:00,247.0,247.15,246.15,246.15,2132124
9,9,2022-07-11 11:30:00,246.15,246.95,246.0,246.75,2345537
10,10,2022-07-11 11:45:00,246.6,246.85,246.25,246.45,2401090
11,11,2022-07-11 12:00:00,246.45,246.85,246.25,246.45,2443760
12,12,2022-07-11 12:15:00,246.45,246.5,246.1,246.4,2573769
13,13,2022-07-11 12:30:00,246.35,246.5,246.3,246.5,2622463
14,14,2022-07-11 12:45:00,246.5,246.5,246.25,246.45,2707564
15,15,2022-07-11 13:00:00,246.45,246.5,246.25,246.45,2858113
16,16,2022-07-11 13:15:00,246.4,247.0,246.35,246.7,2971000
17,17,2022-07-11 13:30:00,246.5,247.0,246.45,246.6,3087554
18,18,2022-07-11 13:45:00,246.6,246.75,246.05,246.1,3155274
19,19,2022-07-11 14:00:00,246.2,246.2,245.35,245.85,3348707
20,20,2022-07-11 14:15:00,245.85,246.0,245.55,245.9,3421643
21,21,2022-07-11 14:30:00,245.85,246.0,245.25,245.75,3599378
22,22,2022-07-11 14:45:00,245.75,246.4,245.35,245.55,3835611
23,23,2022-07-11 15:00:00,245.55,246.45,245.4,246.15,4009638
24,24,2022-07-11 15:15:00,246.15,246.35,245.4,245.45,4220969
25,25,2022-07-11 15:30:00,245.95,245.95,245.95,245.95,4221064
26,26,2022-07-12 09:15:00,244.95,246.9,244.35,244.9,113446
27,27,2022-07-12 09:30:00,244.9,245.6,244.6,245.0,294879
28,28,2022-07-12 09:45:00,244.95,246.5,244.65,245.5,487406
29,29,2022-07-12 10:00:00,245.6,246.5,245.55,245.85,651963
30,30,2022-07-12 10:15:00,245.8,246.25,245.5,245.9,781978
31,31,2022-07-12 10:30:00,245.9,245.95,245.25,245.5,834853
32,32,2022-07-12 10:45:00,245.5,245.5,245.3,245.35,870409
