,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,979.9,979.9,971.05,974.5,4764
1,1,2022-07-11 09:30:00,974.5,977.0,973.05,975.55,11063
2,2,2022-07-11 09:45:00,975.55,976.0,973.85,974.7,14796
3,3,2022-07-11 10:00:00,974.25,976.1,973.95,975.9,34192
4,4,2022-07-11 10:15:00,975.9,975.9,973.05,974.05,35936
5,5,2022-07-11 10:30:00,974.05,978.25,973.9,977.55,38734
6,6,2022-07-11 10:45:00,977.55,979.8,976.0,976.4,42468
7,7,2022-07-11 11:00:00,976.4,979.15,975.3,978.4,43568
8,8,2022-07-11 11:15:00,978.4,978.65,976.6,976.65,44344
9,9,2022-07-11 11:30:00,977.25,979.2,976.65,978.2,47171
10,10,2022-07-11 11:45:00,978.2,978.25,976.35,978.15,48352
11,11,2022-07-11 12:00:00,978.15,982.95,978.05,980.25,57427
12,12,2022-07-11 12:15:00,980.2,983.3,980.0,981.35,62091
13,13,2022-07-11 12:30:00,980.55,981.0,978.15,979.1,65529
14,14,2022-07-11 12:45:00,979.1,979.35,977.05,978.3,67418
15,15,2022-07-11 13:00:00,978.3,979.55,977.45,978.35,69584
16,16,2022-07-11 13:15:00,978.35,980.5,978.3,979.35,71648
17,17,2022-07-11 13:30:00,979.4,980.05,979.0,979.05,73587
18,18,2022-07-11 13:45:00,979.05,979.45,974.1,974.1,79867
19,19,2022-07-11 14:00:00,974.1,977.9,974.1,976.65,86145
20,20,2022-07-11 14:15:00,976.65,984.9,976.65,984.9,99446
21,21,2022-07-11 14:30:00,984.7,984.9,981.5,983.5,117203
22,22,2022-07-11 14:45:00,983.1,985.8,981.4,985.0,134268
23,23,2022-07-11 15:00:00,985.0,988.2,983.9,984.8,152485
24,24,2022-07-11 15:15:00,984.75,987.6,982.85,985.0,166600
25,25,2022-07-11 15:30:00,985.85,985.85,985.85,985.85,166600
26,26,2022-07-12 09:15:00,987.0,987.0,978.75,983.9,11832
27,27,2022-07-12 09:30:00,983.9,984.0,980.25,982.5,33692
28,28,2022-07-12 09:45:00,982.5,982.9,981.1,981.35,40286
29,29,2022-07-12 10:00:00,981.3,983.45,980.95,982.5,46398
30,30,2022-07-12 10:15:00,982.5,983.95,982.5,983.0,48468
31,31,2022-07-12 10:30:00,983.3,983.7,982.6,983.6,51678
32,32,2022-07-12 10:45:00,983.6,983.8,983.55,983.8,52558
