,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,237.0,237.0,234.0,234.9,13619
1,1,2022-07-11 09:30:00,234.8,236.2,234.75,235.75,22287
2,2,2022-07-11 09:45:00,235.75,236.4,235.55,235.55,23991
3,3,2022-07-11 10:00:00,235.55,236.7,235.55,236.7,28365
4,4,2022-07-11 10:15:00,236.7,237.9,236.5,237.85,33236
5,5,2022-07-11 10:30:00,237.85,238.1,237.5,237.95,35468
6,6,2022-07-11 10:45:00,237.95,239.35,237.95,238.85,43150
7,7,2022-07-11 11:00:00,238.85,239.35,238.45,238.45,48005
8,8,2022-07-11 11:15:00,238.45,238.7,237.35,237.8,50309
9,9,2022-07-11 11:30:00,237.8,238.6,237.35,237.85,54481
10,10,2022-07-11 11:45:00,237.85,237.95,237.6,237.8,56218
11,11,2022-07-11 12:00:00,237.8,237.8,237.7,237.8,56689
12,12,2022-07-11 12:15:00,237.75,237.8,237.05,237.05,58130
13,13,2022-07-11 12:30:00,237.05,237.85,237.0,237.15,61905
14,14,2022-07-11 12:45:00,237.4,237.75,237.1,237.3,62609
15,15,2022-07-11 13:00:00,237.3,237.8,237.1,237.3,64686
16,16,2022-07-11 13:15:00,237.3,238.3,237.1,237.9,65872
17,17,2022-07-11 13:30:00,237.9,238.25,237.25,237.8,69176
18,18,2022-07-11 13:45:00,237.8,238.45,237.75,238.2,70955
19,19,2022-07-11 14:00:00,238.2,239.0,238.2,238.8,71890
20,20,2022-07-11 14:15:00,238.8,239.45,238.6,238.65,74219
21,21,2022-07-11 14:30:00,238.65,239.0,238.35,238.85,75370
22,22,2022-07-11 14:45:00,238.85,238.85,238.25,238.7,76340
23,23,2022-07-11 15:00:00,238.7,239.95,237.1,237.65,81709
24,24,2022-07-11 15:15:00,237.65,239.75,237.65,239.75,89787
25,25,2022-07-11 15:30:00,238.7,238.7,238.7,238.7,89787
26,26,2022-07-12 09:15:00,238.5,240.25,236.6,240.15,7671
27,27,2022-07-12 09:30:00,240.2,240.2,239.2,239.45,18615
28,28,2022-07-12 09:45:00,239.45,239.7,239.0,239.5,20880
29,29,2022-07-12 10:00:00,239.5,239.5,239.3,239.35,23371
30,30,2022-07-12 10:15:00,239.35,239.9,239.35,239.7,25345
31,31,2022-07-12 10:30:00,239.7,239.9,239.3,239.6,28405
32,32,2022-07-12 10:45:00,239.6,239.65,239.4,239.4,30945
