,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,8457.95,8482.5,8419.7,8460.85,61159
1,1,2022-07-11 09:30:00,8460.85,8489.0,8441.95,8477.25,97966
2,2,2022-07-11 09:45:00,8477.25,8492.0,8471.1,8487.2,129429
3,3,2022-07-11 10:00:00,8487.2,8507.8,8481.6,8489.85,150909
4,4,2022-07-11 10:15:00,8489.85,8499.0,8484.1,8497.15,167451
5,5,2022-07-11 10:30:00,8497.15,8497.15,8486.0,8497.15,175870
6,6,2022-07-11 10:45:00,8497.15,8497.8,8452.0,8458.0,208567
7,7,2022-07-11 11:00:00,8458.85,8459.2,8445.0,8449.85,223807
8,8,2022-07-11 11:15:00,8449.85,8464.0,8447.0,8451.3,239999
9,9,2022-07-11 11:30:00,8454.75,8458.85,8445.0,8451.0,245792
10,10,2022-07-11 11:45:00,8451.0,8452.0,8447.0,8450.95,254639
11,11,2022-07-11 12:00:00,8450.8,8451.35,8445.0,8449.45,261529
12,12,2022-07-11 12:15:00,8449.45,8450.0,8426.35,8435.45,273724
13,13,2022-07-11 12:30:00,8435.45,8452.0,8425.0,8451.0,283687
14,14,2022-07-11 12:45:00,8451.0,8452.05,8446.55,8449.9,293879
15,15,2022-07-11 13:00:00,8449.9,8452.4,8444.4,8450.75,310442
16,16,2022-07-11 13:15:00,8450.75,8460.9,8448.75,8455.85,329521
17,17,2022-07-11 13:30:00,8455.65,8483.95,8452.0,8477.05,343076
18,18,2022-07-11 13:45:00,8479.35,8484.6,8471.95,8474.4,356691
19,19,2022-07-11 14:00:00,8474.4,8494.8,8474.4,8491.45,372175
20,20,2022-07-11 14:15:00,8492.35,8524.0,8492.35,8516.25,426287
21,21,2022-07-11 14:30:00,8512.45,8523.95,8502.25,8517.2,457016
22,22,2022-07-11 14:45:00,8517.2,8525.0,8511.85,8519.05,475303
23,23,2022-07-11 15:00:00,8519.1,8519.1,8490.0,8504.2,503854
24,24,2022-07-11 15:15:00,8504.15,8515.0,8495.0,8504.85,536111
25,25,2022-07-11 15:30:00,8507.65,8507.65,8507.65,8507.65,536113
26,26,2022-07-12 09:15:00,8486.0,8495.0,8431.0,8472.0,27941
27,27,2022-07-12 09:30:00,8471.95,8471.95,8450.0,8455.85,56409
28,28,2022-07-12 09:45:00,8455.85,8460.45,8440.25,8451.8,67397
29,29,2022-07-12 10:00:00,8451.8,8474.9,8448.0,8457.05,78039
30,30,2022-07-12 10:15:00,8459.0,8470.0,8453.0,8462.7,84956
31,31,2022-07-12 10:30:00,8462.7,8464.7,8443.1,8458.45,95352
32,32,2022-07-12 10:45:00,8458.45,8465.0,8455.25,8460.0,110219
