,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,184.15,184.45,182.4,182.5,331998
1,1,2022-07-11 09:30:00,182.55,183.3,181.7,183.3,557079
2,2,2022-07-11 09:45:00,183.3,185.35,183.15,183.85,731062
3,3,2022-07-11 10:00:00,183.85,185.25,183.35,185.0,817787
4,4,2022-07-11 10:15:00,184.95,185.4,184.2,185.2,887998
5,5,2022-07-11 10:30:00,185.2,185.25,184.65,185.05,935125
6,6,2022-07-11 10:45:00,185.05,185.2,184.3,184.7,980628
7,7,2022-07-11 11:00:00,184.7,184.75,184.05,184.5,1038486
8,8,2022-07-11 11:15:00,184.5,184.6,184.1,184.3,1076481
9,9,2022-07-11 11:30:00,184.3,184.95,184.2,184.5,1121097
10,10,2022-07-11 11:45:00,184.2,184.25,183.3,183.9,1177598
11,11,2022-07-11 12:00:00,183.9,183.95,183.15,183.65,1224287
12,12,2022-07-11 12:15:00,183.65,183.7,182.5,182.75,1299734
13,13,2022-07-11 12:30:00,182.75,182.9,182.5,182.7,1340646
14,14,2022-07-11 12:45:00,182.7,182.9,182.5,182.8,1372439
15,15,2022-07-11 13:00:00,182.85,183.7,182.7,183.55,1413964
16,16,2022-07-11 13:15:00,183.65,183.7,183.0,183.55,1445750
17,17,2022-07-11 13:30:00,183.65,184.0,183.5,183.75,1476428
18,18,2022-07-11 13:45:00,183.95,185.0,183.8,184.4,1559551
19,19,2022-07-11 14:00:00,184.4,184.9,184.25,184.7,1598742
20,20,2022-07-11 14:15:00,184.7,184.8,184.25,184.7,1638207
21,21,2022-07-11 14:30:00,184.65,184.85,184.25,184.5,1675627
22,22,2022-07-11 14:45:00,184.5,185.0,184.05,184.75,1734873
23,23,2022-07-11 15:00:00,184.8,187.5,184.75,186.2,2043595
24,24,2022-07-11 15:15:00,186.2,187.7,186.05,186.1,2292782
25,25,2022-07-11 15:30:00,186.6,186.6,186.6,186.6,2292919
26,26,2022-07-12 09:15:00,183.95,189.75,183.8,188.9,216186
27,27,2022-07-12 09:30:00,188.75,188.75,186.7,187.5,548390
28,28,2022-07-12 09:45:00,187.5,188.35,186.85,188.15,695705
29,29,2022-07-12 10:00:00,188.0,188.0,187.35,187.85,759231
30,30,2022-07-12 10:15:00,187.7,187.85,187.3,187.85,803897
31,31,2022-07-12 10:30:00,187.85,188.5,187.65,188.15,857325
32,32,2022-07-12 10:45:00,188.2,188.45,187.8,188.35,919645
