,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,2259.0,2259.0,2237.0,2246.6,31696
1,1,2022-07-11 09:30:00,2247.75,2249.9,2241.9,2248.6,41024
2,2,2022-07-11 09:45:00,2248.6,2260.0,2246.4,2256.8,50273
3,3,2022-07-11 10:00:00,2257.0,2269.0,2254.0,2265.8,70277
4,4,2022-07-11 10:15:00,2265.8,2272.0,2262.05,2264.95,87330
5,5,2022-07-11 10:30:00,2265.15,2266.0,2259.0,2260.0,91336
6,6,2022-07-11 10:45:00,2260.0,2264.2,2254.2,2256.8,95923
7,7,2022-07-11 11:00:00,2257.3,2257.95,2251.3,2257.65,101079
8,8,2022-07-11 11:15:00,2257.65,2257.65,2252.2,2253.0,103723
9,9,2022-07-11 11:30:00,2254.0,2256.45,2252.35,2252.35,107283
10,10,2022-07-11 11:45:00,2252.35,2254.0,2251.1,2251.2,109173
11,11,2022-07-11 12:00:00,2252.35,2256.55,2251.15,2252.35,117718
12,12,2022-07-11 12:15:00,2252.35,2253.2,2251.0,2251.0,121888
13,13,2022-07-11 12:30:00,2251.7,2251.7,2245.05,2248.45,126802
14,14,2022-07-11 12:45:00,2248.45,2255.0,2248.3,2253.6,130109
15,15,2022-07-11 13:00:00,2253.9,2265.0,2252.15,2261.15,141490
16,16,2022-07-11 13:15:00,2260.3,2263.0,2250.0,2253.85,148803
17,17,2022-07-11 13:30:00,2254.15,2259.9,2252.85,2259.9,153795
18,18,2022-07-11 13:45:00,2259.9,2261.95,2251.35,2252.05,160449
19,19,2022-07-11 14:00:00,2252.05,2256.85,2251.85,2253.7,165742
20,20,2022-07-11 14:15:00,2253.7,2264.35,2252.85,2264.35,172214
21,21,2022-07-11 14:30:00,2264.35,2269.0,2256.25,2269.0,186941
22,22,2022-07-11 14:45:00,2269.0,2277.95,2267.1,2272.05,215911
23,23,2022-07-11 15:00:00,2276.0,2278.95,2267.45,2269.8,237537
24,24,2022-07-11 15:15:00,2270.05,2272.0,2252.85,2259.9,259143
25,25,2022-07-11 15:30:00,2259.9,2268.55,2259.9,2268.55,259143
26,26,2022-07-12 09:15:00,2265.0,2265.0,2243.0,2247.55,10468
27,27,2022-07-12 09:30:00,2248.85,2258.0,2247.05,2256.1,20800
28,28,2022-07-12 09:45:00,2256.1,2260.45,2256.0,2256.0,27341
29,29,2022-07-12 10:00:00,2256.95,2256.95,2250.0,2251.0,32037
30,30,2022-07-12 10:15:00,2250.0,2255.2,2246.2,2255.2,36080
31,31,2022-07-12 10:30:00,2255.8,2255.8,2252.0,2253.4,48164
32,32,2022-07-12 10:45:00,2253.4,2254.0,2253.4,2253.85,51076
