,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,564.85,567.15,562.1,562.75,22044
1,1,2022-07-11 09:30:00,562.9,564.4,562.0,564.4,30883
2,2,2022-07-11 09:45:00,563.85,564.55,562.45,562.45,37022
3,3,2022-07-11 10:00:00,562.4,563.15,558.65,558.65,53450
4,4,2022-07-11 10:15:00,559.4,560.4,558.65,559.85,63116
5,5,2022-07-11 10:30:00,559.85,560.6,559.55,559.95,68767
6,6,2022-07-11 10:45:00,559.95,560.3,559.0,560.2,76223
7,7,2022-07-11 11:00:00,560.2,560.2,558.55,558.95,84304
8,8,2022-07-11 11:15:00,559.2,559.2,557.6,558.55,91739
9,9,2022-07-11 11:30:00,558.55,560.0,558.3,559.0,98180
10,10,2022-07-11 11:45:00,559.0,559.9,558.55,559.65,107029
11,11,2022-07-11 12:00:00,559.4,560.2,559.0,560.2,113530
12,12,2022-07-11 12:15:00,560.2,560.25,559.4,559.7,118497
13,13,2022-07-11 12:30:00,559.75,559.9,558.5,558.8,122178
14,14,2022-07-11 12:45:00,558.8,559.5,558.7,559.0,128801
15,15,2022-07-11 13:00:00,558.85,559.5,558.25,558.6,142622
16,16,2022-07-11 13:15:00,558.6,558.65,558.25,558.5,146845
17,17,2022-07-11 13:30:00,558.5,559.0,558.5,558.85,151542
18,18,2022-07-11 13:45:00,558.85,559.1,557.4,557.5,164473
19,19,2022-07-11 14:00:00,557.25,558.45,556.5,557.6,174089
20,20,2022-07-11 14:15:00,557.6,558.6,557.5,557.85,192151
21,21,2022-07-11 14:30:00,557.9,558.75,557.25,558.0,213735
22,22,2022-07-11 14:45:00,558.3,558.45,557.5,557.95,226618
23,23,2022-07-11 15:00:00,557.85,562.95,556.0,556.75,275744
24,24,2022-07-11 15:15:00,556.75,562.05,555.1,559.0,329098
25,25,2022-07-11 15:30:00,559.45,559.45,558.35,558.35,329721
26,26,2022-07-12 09:15:00,559.45,559.85,553.9,556.0,15154
27,27,2022-07-12 09:30:00,555.35,557.05,555.35,556.05,42149
28,28,2022-07-12 09:45:00,556.0,556.85,555.85,556.7,57200
29,29,2022-07-12 10:00:00,556.35,557.45,555.85,556.05,65664
30,30,2022-07-12 10:15:00,556.05,556.9,555.5,555.75,74330
31,31,2022-07-12 10:30:00,556.05,556.4,555.15,556.15,82653
32,32,2022-07-12 10:45:00,556.75,557.4,555.55,555.9,105796
