,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,195.95,196.75,195.85,196.0,18502
1,1,2022-07-11 09:30:00,196.1,196.15,195.55,195.95,24840
2,2,2022-07-11 09:45:00,195.95,196.8,195.95,196.25,36594
3,3,2022-07-11 10:00:00,196.25,196.5,195.7,196.45,46231
4,4,2022-07-11 10:15:00,196.45,197.9,196.25,197.85,56196
5,5,2022-07-11 10:30:00,197.9,198.55,197.4,197.55,72811
6,6,2022-07-11 10:45:00,197.55,197.85,197.25,197.55,79191
7,7,2022-07-11 11:00:00,197.55,197.9,197.5,197.9,81519
8,8,2022-07-11 11:15:00,197.9,197.9,197.1,197.15,89093
9,9,2022-07-11 11:30:00,197.15,197.7,197.15,197.55,91522
10,10,2022-07-11 11:45:00,197.55,197.55,196.85,197.45,97065
11,11,2022-07-11 12:00:00,197.2,197.65,197.2,197.3,98916
12,12,2022-07-11 12:15:00,197.2,197.7,196.85,196.85,104372
13,13,2022-07-11 12:30:00,196.85,197.2,196.85,196.95,116608
14,14,2022-07-11 12:45:00,196.95,197.2,196.9,196.9,125607
15,15,2022-07-11 13:00:00,197.1,197.2,196.95,196.95,131512
16,16,2022-07-11 13:15:00,196.95,197.2,196.85,196.85,136384
17,17,2022-07-11 13:30:00,196.85,197.0,196.65,196.9,140142
18,18,2022-07-11 13:45:00,196.9,197.0,196.7,197.0,146185
19,19,2022-07-11 14:00:00,197.0,197.0,196.8,196.95,150622
20,20,2022-07-11 14:15:00,196.95,197.0,196.35,196.95,164392
21,21,2022-07-11 14:30:00,196.95,197.0,196.45,196.65,173811
22,22,2022-07-11 14:45:00,196.55,197.0,196.45,196.45,180198
23,23,2022-07-11 15:00:00,196.45,196.8,196.45,196.75,189708
24,24,2022-07-11 15:15:00,196.75,196.75,195.8,196.2,227610
25,25,2022-07-11 15:30:00,196.2,196.2,196.2,196.2,228730
26,26,2022-07-12 09:15:00,197.7,203.7,197.5,199.75,93158
27,27,2022-07-12 09:30:00,200.0,200.15,199.7,199.95,167675
28,28,2022-07-12 09:45:00,199.95,199.95,199.35,199.85,203182
29,29,2022-07-12 10:00:00,199.85,199.85,199.0,199.45,213456
30,30,2022-07-12 10:15:00,199.45,199.75,199.0,199.35,229901
31,31,2022-07-12 10:30:00,199.35,199.95,199.35,199.8,251646
32,32,2022-07-12 10:45:00,199.8,199.9,199.5,199.75,266705
