,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,1286.0,1328.95,1283.6,1305.8,60493
1,1,2022-07-11 09:30:00,1305.8,1305.8,1291.75,1297.3,80625
2,2,2022-07-11 09:45:00,1299.2,1301.0,1291.8,1294.0,92574
3,3,2022-07-11 10:00:00,1294.35,1295.4,1292.3,1293.95,96777
4,4,2022-07-11 10:15:00,1293.95,1294.25,1291.05,1291.9,100330
5,5,2022-07-11 10:30:00,1291.3,1292.3,1286.3,1289.65,106225
6,6,2022-07-11 10:45:00,1289.65,1291.4,1288.5,1288.5,109440
7,7,2022-07-11 11:00:00,1288.5,1289.1,1285.75,1287.3,112734
8,8,2022-07-11 11:15:00,1288.95,1288.95,1282.7,1285.05,128899
9,9,2022-07-11 11:30:00,1285.05,1286.0,1280.6,1281.85,148398
10,10,2022-07-11 11:45:00,1281.8,1286.35,1281.15,1285.55,154176
11,11,2022-07-11 12:00:00,1285.55,1292.95,1285.55,1289.1,161303
12,12,2022-07-11 12:15:00,1290.0,1292.4,1288.05,1290.1,165945
13,13,2022-07-11 12:30:00,1290.1,1293.9,1290.0,1293.6,172458
14,14,2022-07-11 12:45:00,1293.85,1294.0,1292.05,1292.3,176897
15,15,2022-07-11 13:00:00,1292.3,1294.85,1291.6,1292.15,182369
16,16,2022-07-11 13:15:00,1292.15,1294.0,1290.0,1290.1,187591
17,17,2022-07-11 13:30:00,1290.1,1292.0,1288.25,1289.85,194794
18,18,2022-07-11 13:45:00,1290.45,1294.0,1289.05,1290.1,207217
19,19,2022-07-11 14:00:00,1290.1,1292.45,1287.25,1288.8,216713
20,20,2022-07-11 14:15:00,1288.8,1294.0,1288.05,1293.0,223400
21,21,2022-07-11 14:30:00,1293.0,1297.1,1291.0,1297.0,239203
22,22,2022-07-11 14:45:00,1297.5,1310.0,1297.5,1303.35,272876
23,23,2022-07-11 15:00:00,1304.3,1307.9,1301.75,1305.0,293312
24,24,2022-07-11 15:15:00,1305.1,1306.0,1292.0,1296.0,325026
25,25,2022-07-11 15:30:00,1296.0,1303.3,1296.0,1303.3,325111
26,26,2022-07-12 09:15:00,1296.0,1300.4,1284.45,1295.35,13287
27,27,2022-07-12 09:30:00,1295.35,1295.35,1288.0,1289.8,25018
28,28,2022-07-12 09:45:00,1289.8,1292.6,1288.05,1291.1,32536
29,29,2022-07-12 10:00:00,1291.1,1296.0,1290.4,1291.0,35849
30,30,2022-07-12 10:15:00,1290.95,1292.45,1289.25,1292.0,39155
31,31,2022-07-12 10:30:00,1292.0,1294.9,1291.35,1292.25,40625
32,32,2022-07-12 10:45:00,1292.25,1292.25,1291.35,1291.95,41744
