,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,19919.9,20022.75,19764.1,19801.0,2565
1,1,2022-07-11 09:30:00,19801.0,19875.6,19782.15,19860.05,3302
2,2,2022-07-11 09:45:00,19860.05,19947.0,19857.7,19930.0,3908
3,3,2022-07-11 10:00:00,19930.0,19967.4,19862.15,19862.15,4409
4,4,2022-07-11 10:15:00,19862.15,19966.9,19845.1,19937.55,4908
5,5,2022-07-11 10:30:00,19937.55,19951.45,19870.0,19895.6,5332
6,6,2022-07-11 10:45:00,19895.6,19929.3,19870.0,19870.05,5509
7,7,2022-07-11 11:00:00,19870.05,19890.0,19811.85,19861.6,5870
8,8,2022-07-11 11:15:00,19861.6,19890.0,19861.6,19887.15,5939
9,9,2022-07-11 11:30:00,19887.15,19889.95,19810.0,19849.2,6133
10,10,2022-07-11 11:45:00,19849.2,19859.35,19815.0,19830.0,6248
11,11,2022-07-11 12:00:00,19830.0,19847.9,19800.0,19811.0,6465
12,12,2022-07-11 12:15:00,19811.0,19854.9,19800.0,19812.25,6932
13,13,2022-07-11 12:30:00,19812.25,19830.0,19812.25,19829.8,7608
14,14,2022-07-11 12:45:00,19829.8,19830.0,19815.0,19830.0,7822
15,15,2022-07-11 13:00:00,19830.0,19830.0,19817.5,19827.1,8036
16,16,2022-07-11 13:15:00,19827.1,19830.0,19800.0,19807.0,8531
17,17,2022-07-11 13:30:00,19807.0,19830.0,19802.95,19830.0,8980
18,18,2022-07-11 13:45:00,19830.0,19830.0,19805.0,19805.0,9482
19,19,2022-07-11 14:00:00,19805.0,19848.6,19805.0,19827.0,10892
20,20,2022-07-11 14:15:00,19827.0,19922.95,19822.5,19904.2,11684
21,21,2022-07-11 14:30:00,19904.2,19922.95,19830.1,19864.55,12424
22,22,2022-07-11 14:45:00,19864.55,19920.65,19818.65,19885.4,13367
23,23,2022-07-11 15:00:00,19885.4,19899.95,19844.0,19854.5,14759
24,24,2022-07-11 15:15:00,19854.5,19876.15,19800.0,19800.05,16711
25,25,2022-07-11 15:30:00,19854.15,19854.15,19854.15,19854.15,16711
26,26,2022-07-12 09:15:00,19816.0,19897.0,19612.25,19675.0,2045
27,27,2022-07-12 09:30:00,19675.0,19721.2,19645.0,19697.0,3239
28,28,2022-07-12 09:45:00,19697.0,19813.7,19681.05,19746.15,4140
29,29,2022-07-12 10:00:00,19746.15,19750.35,19721.05,19727.7,4676
30,30,2022-07-12 10:15:00,19727.7,19745.9,19660.0,19680.0,5041
31,31,2022-07-12 10:30:00,19680.0,19687.35,19670.75,19679.95,5541
32,32,2022-07-12 10:45:00,19679.95,19730.0,19679.95,19722.7,5926
