,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,1274.85,1279.65,1262.25,1269.05,84900
1,1,2022-07-11 09:30:00,1269.05,1270.25,1258.4,1264.85,137521
2,2,2022-07-11 09:45:00,1263.75,1265.0,1260.0,1264.65,170033
3,3,2022-07-11 10:00:00,1264.65,1267.5,1262.4,1265.65,193207
4,4,2022-07-11 10:15:00,1265.65,1266.0,1255.0,1256.2,227556
5,5,2022-07-11 10:30:00,1256.2,1256.3,1250.2,1252.1,253890
6,6,2022-07-11 10:45:00,1252.1,1253.8,1250.2,1251.5,275045
7,7,2022-07-11 11:00:00,1251.5,1252.8,1248.05,1250.3,296181
8,8,2022-07-11 11:15:00,1250.3,1251.0,1248.45,1249.5,311246
9,9,2022-07-11 11:30:00,1249.95,1253.2,1241.2,1241.2,352266
10,10,2022-07-11 11:45:00,1241.2,1246.8,1240.1,1246.05,373713
11,11,2022-07-11 12:00:00,1246.05,1249.0,1246.05,1248.2,382020
12,12,2022-07-11 12:15:00,1248.2,1249.95,1247.1,1247.6,387059
13,13,2022-07-11 12:30:00,1247.6,1250.0,1247.0,1248.85,396152
14,14,2022-07-11 12:45:00,1248.85,1248.85,1245.0,1245.05,406431
15,15,2022-07-11 13:00:00,1245.05,1249.2,1245.0,1247.2,422008
16,16,2022-07-11 13:15:00,1247.2,1250.05,1245.2,1245.95,463647
17,17,2022-07-11 13:30:00,1245.95,1249.0,1245.1,1248.0,477470
18,18,2022-07-11 13:45:00,1248.0,1250.45,1247.3,1249.0,487160
19,19,2022-07-11 14:00:00,1249.0,1250.15,1248.25,1248.6,496756
20,20,2022-07-11 14:15:00,1248.6,1254.6,1248.6,1253.4,521947
21,21,2022-07-11 14:30:00,1253.4,1254.8,1250.55,1254.6,546599
22,22,2022-07-11 14:45:00,1254.5,1258.55,1253.25,1257.0,581949
23,23,2022-07-11 15:00:00,1257.0,1261.35,1253.55,1255.25,660458
24,24,2022-07-11 15:15:00,1255.1,1257.15,1251.7,1255.2,738248
25,25,2022-07-11 15:30:00,1256.15,1256.15,1256.15,1256.15,738248
26,26,2022-07-12 09:15:00,1248.95,1255.55,1241.65,1254.8,44804
27,27,2022-07-12 09:30:00,1254.7,1254.7,1248.1,1252.6,81407
28,28,2022-07-12 09:45:00,1253.25,1254.95,1249.0,1250.8,93433
29,29,2022-07-12 10:00:00,1250.8,1251.2,1248.6,1250.55,105944
30,30,2022-07-12 10:15:00,1250.05,1254.65,1249.7,1253.35,118483
31,31,2022-07-12 10:30:00,1253.35,1254.5,1252.2,1253.6,140988
32,32,2022-07-12 10:45:00,1253.6,1253.9,1251.5,1253.55,156942
