,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,851.3,856.8,845.65,854.5,101876
1,1,2022-07-11 09:30:00,854.45,865.75,853.25,860.0,244217
2,2,2022-07-11 09:45:00,860.0,860.0,858.65,859.95,266423
3,3,2022-07-11 10:00:00,860.0,860.05,858.45,860.0,305799
4,4,2022-07-11 10:15:00,860.0,860.0,852.3,857.0,358876
5,5,2022-07-11 10:30:00,857.0,858.0,855.65,857.85,374428
6,6,2022-07-11 10:45:00,857.85,859.0,857.1,859.0,393470
7,7,2022-07-11 11:00:00,859.0,859.0,857.0,858.5,412576
8,8,2022-07-11 11:15:00,858.5,858.95,856.3,858.9,421650
9,9,2022-07-11 11:30:00,858.9,859.0,853.65,854.35,439916
10,10,2022-07-11 11:45:00,854.4,857.1,853.5,856.55,458971
11,11,2022-07-11 12:00:00,856.55,857.0,855.5,856.05,465788
12,12,2022-07-11 12:15:00,856.65,857.0,853.5,855.15,474835
13,13,2022-07-11 12:30:00,855.15,856.95,854.0,856.0,490122
14,14,2022-07-11 12:45:00,855.45,857.0,854.6,856.7,508522
15,15,2022-07-11 13:00:00,856.7,857.0,855.3,856.65,521603
16,16,2022-07-11 13:15:00,856.65,856.95,853.45,855.0,547026
17,17,2022-07-11 13:30:00,855.0,855.0,850.0,854.9,581312
18,18,2022-07-11 13:45:00,854.65,855.0,853.55,854.8,599270
19,19,2022-07-11 14:00:00,854.8,855.0,854.15,854.95,612640
20,20,2022-07-11 14:15:00,854.95,855.4,854.15,854.9,630133
21,21,2022-07-11 14:30:00,854.9,857.1,852.5,854.95,659505
22,22,2022-07-11 14:45:00,854.95,854.95,853.4,853.95,680151
23,23,2022-07-11 15:00:00,853.6,858.0,853.35,854.15,752967
24,24,2022-07-11 15:15:00,854.05,860.0,851.0,860.0,824057
25,25,2022-07-11 15:30:00,859.95,859.95,855.25,855.25,824105
26,26,2022-07-12 09:15:00,854.65,864.9,851.4,864.1,34996
27,27,2022-07-12 09:30:00,864.65,864.65,852.45,857.6,104930
28,28,2022-07-12 09:45:00,857.6,861.85,856.9,860.0,142697
29,29,2022-07-12 10:00:00,860.0,864.1,859.8,860.3,180186
30,30,2022-07-12 10:15:00,860.3,860.95,858.6,859.45,204964
31,31,2022-07-12 10:30:00,859.0,859.2,854.2,855.65,225138
32,32,2022-07-12 10:45:00,855.65,857.2,855.05,856.0,249311
