,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-25 09:15:00,2083.55,2096.1,2071.2,2075.95,754
1,1,2022-07-25 09:30:00,2075.95,2096.1,2070.0,2086.0,2418
2,2,2022-07-25 09:45:00,2086.7,2086.7,2069.0,2075.5,4018
3,3,2022-07-25 10:00:00,2075.5,2084.8,2073.8,2079.0,5437
4,4,2022-07-25 10:15:00,2079.0,2081.05,2076.55,2080.35,6040
5,5,2022-07-25 10:30:00,2080.35,2081.25,2079.15,2079.15,6259
6,6,2022-07-25 10:45:00,2079.15,2082.0,2078.55,2078.55,6336
7,7,2022-07-25 11:00:00,2078.55,2078.55,2074.1,2075.0,6557
8,8,2022-07-25 11:15:00,2075.0,2078.0,2072.05,2074.4,6793
9,9,2022-07-25 11:30:00,2074.4,2074.65,2072.15,2073.6,6932
10,10,2022-07-25 11:45:00,2073.6,2073.9,2071.5,2072.0,6981
11,11,2022-07-25 12:00:00,2072.0,2075.3,2070.5,2075.3,7130
12,12,2022-07-25 12:15:00,2075.3,2078.8,2074.05,2077.0,7203
13,13,2022-07-25 12:30:00,2077.0,2077.95,2074.05,2076.7,7330
14,14,2022-07-25 12:45:00,2076.7,2076.85,2074.65,2076.85,7387
15,15,2022-07-25 13:00:00,2076.85,2076.85,2070.55,2074.05,7630
16,16,2022-07-25 13:15:00,2074.05,2078.5,2071.15,2073.05,8224
17,17,2022-07-25 13:30:00,2073.05,2074.15,2071.15,2071.15,8297
18,18,2022-07-25 13:45:00,2071.15,2075.0,2071.15,2072.05,8392
19,19,2022-07-25 14:00:00,2072.05,2075.95,2072.05,2072.65,8466
20,20,2022-07-25 14:15:00,2072.65,2076.4,2072.35,2074.85,8612
21,21,2022-07-25 14:30:00,2074.85,2076.3,2073.7,2076.3,8764
22,22,2022-07-25 14:45:00,2077.9,2077.9,2068.0,2075.25,9006
23,23,2022-07-25 15:00:00,2075.25,2077.75,2072.0,2076.95,9651
24,24,2022-07-25 15:15:00,2076.95,2076.95,2066.0,2074.0,10440
25,25,2022-07-25 15:30:00,2067.0,2073.1,2067.0,2073.1,10988
