,0
0,3MINDIA
1,AIAENG
2,AFFLE
3,ALOKINDS
4,APTUS
5,ASAHIINDIA
6,BAJFINANCE
7,BAJAJFINSV
8,BALKRISIND
9,BANDHANBNK
10,BEL
11,BLUEDART
12,BCG
13,BRITANNIA
14,CESC
15,CSBBANK
16,CARBORUNIV
17,CASTROLIND
18,CEATLTD
19,CERA
20,CHAMBLFERT
21,CHOLAFIN
22,CUB
23,DCMSHRIRAM
24,DEEPAKNTR
25,DELTACORP
26,DHANI
27,DBL
28,ENGINERSIN
29,GICRE
30,HLEGLAS
31,HEROMOTOCO
32,HIKAL
33,HINDCOPPER
34,HINDPETRO
35,IRCON
36,IBULHSGFIN
37,IBREALEST
38,INDIAMART
39,IRFC
40,IGL
41,INFIBEAM
42,IPCALAB
43,JSL
44,JUBLFOOD
45,KEI
46,LODHA
47,OFSS
48,POLYPLEX
49,PGHH
50,RECLTD
51,RATNAMANI
52,ROSSARI
53,ROUTE
54,SJVN
55,SHREECEM
56,SONACOMS
57,SAIL
58,SUPRAJIT
59,SUZLON
60,TATAMOTORS
61,TIMKEN
62,TORNTPHARM
63,UCOBANK
64,ULTRACEMCO
65,VMART
66,VINATIORGA
67,ECLERX
